sample_no,sample_frame,audit_class,audit_reason,region,sgg_code,sgg_name,umd_name,jibun,deal_date,building_type,building_use,building_area_m2,plottage_area_m2,floor,deal_amount_10k_krw,area_bin,document_id
56,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41173,안양시 동안구,호계동,555-9,2025-06-17,집합,판매,24.1,,,13500,A_0_100,840f6b617e8f5c72ab90defc9834b466
57,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11560,영등포구,영등포동3가,9-13,2025-12-10,집합,판매,4.96,,10,8000,A_0_100,0b06b5a5797e530f82c32a6b9a7e726d
58,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41390,시흥시,정왕동,1728-16,2025-04-11,집합,제2종근린생활,127.83,,,14900,B_100_500,31befc4428c95495ba742c7e45e929d5
59,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41597,화성시 동탄구,능동,1114-3,2025-05-16,집합,제2종근린생활,80.04,,2,19500,A_0_100,b5bc79e0a7ee5259b0c0ea3424e41cd7
60,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41480,파주시,와동동,1557-4,2025-12-22,집합,제1종근린생활,110.0,,3,22000,B_100_500,430d431f011b51fcbe94548f82234fff
61,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",경기,41463,용인시 기흥구,신갈동,3**,2025-09-25,일반,교육연구,2455.54,6088,,1409495,E_2000_3300,f6f4bd413b185c32831eed89a5ab4b92
62,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11230,동대문구,회기동,6*,2025-07-09,일반,제2종근린생활,1085.52,426,,700000,D_1000_2000,7930dbaed53a556ca5a31964c59f614f
63,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",경기,41150,의정부시,의정부동,3*,2025-01-25,일반,제2종근린생활,2024.77,580,,561440,E_2000_3300,e631a30485e250519fed9e56a2790167
64,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",경기,41285,고양시 일산동구,중산동,*,2025-06-19,일반,기타,1184.93,875,,372000,D_1000_2000,ce45f6461d8c5e219a8cddda2eb08bc7
65,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11680,강남구,도곡동,5**,2025-05-30,일반,제2종근린생활,1872.32,49.1,,147929,D_1000_2000,79c1aae7a8055c4995fc6f7f5dd6a082
66,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",인천,28200,남동구,고잔동,3**,2025-12-05,일반,제2종근린생활,1270.73,1086,,568488,D_1000_2000,e67037b0fba4514ca2121257d55b7c37
67,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",경기,41370,오산시,오산동,4**,2025-05-09,일반,기타,1457.45,413,,241000,D_1000_2000,25b0bdbd13ad5bb99696617d96abb6f1
68,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11680,강남구,청담동,7*,2025-12-05,일반,제2종근린생활,2031.9,499.5,,2660000,E_2000_3300,db285b150cc8524381314e43562d8232
69,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",경기,41550,안성시,삼죽면 마전리,1**,2025-05-13,일반,기타,3221.2,15654,,717140,E_2000_3300,ba4e4ac5b92a56e3aa45f54ae9545af8
70,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",경기,41173,안양시 동안구,평촌동,3**,2025-09-02,일반,제2종근린생활,1777.97,436.9,,375000,D_1000_2000,45bd3ce1c33f5b619acd6a3a773569a2
71,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11200,성동구,도선동,3*,2025-03-31,일반,업무,2342.63,1652.9,,6700000,E_2000_3300,cc4608e958be5d789777d44edd26a140
72,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11650,서초구,서초동,1***,2025-07-03,일반,제2종근린생활,1108.44,291.6,,1100000,D_1000_2000,e90b0c51e51f5d7d8729e746e5a7f431
73,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11215,광진구,화양동,1*,2025-12-24,일반,숙박,1047.54,330.6,,764000,D_1000_2000,096aaea7ba7a5fb098f99793e955bca6
74,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11710,송파구,가락동,1**,2025-05-26,일반,업무,2888.76,664.2,,2000000,E_2000_3300,7b73b1e9f753533aa29e66c0979451e8
75,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",인천,28275,서해구,심곡동,2**,2025-09-05,일반,제2종근린생활,1546.44,365.6,,320000,D_1000_2000,0411483ad686553ab9b36946e2751240
76,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11530,구로구,구로동,5**,2025-11-05,일반,숙박,1604.5,430,,930000,D_1000_2000,993766c0664354c58b45957553d89467
77,GENERAL_1000_3300_BOOST,REVIEW_EDGE,"일반건물 1,000㎡ 초과로 건물 전체 거래일 수 있어 단순 소형으로 보기 어려움",서울,11110,종로구,명륜3가,6*,2025-09-12,일반,제2종근린생활,2134.73,879.3,,760000,E_2000_3300,1c423c29a3f8501e9de4765f32f11a55
