theme,quarter,date,publisher,title,url
리츠,2025Q3,2025-08-05,딜북뉴스,"댓글 - 한토신 리츠, 분당 '휴맥스빌리지' 매각계획 승인...사옥 용도 적합 자산 - 딜북뉴스",https://news.google.com/rss/articles/CBMiwgFBVV95cUxOM0Q0NlZROXBHYUw5eE40MnNMOGpuLTVkNGxGQXA5VUZFajJ6dHVKLTZDTlFaMDZEYkhXejlWU2ZmSU56RWhCT016TGw3eVVpMWRtRDdESjJLa2xuUnRtS2FYUTd1VjJPRkx6c3VTbjFBYmZDLTdYVUY4UnFITU1xVnNiUEFXNmJUaHBwWEpxUmRWYk5nVC1iaEJ2VDdEQ24xZkYxMmtOendoTHhKcFUwOXhrQk9vRTR2ZDlQSDYtZ045dw?oc=5
리츠,2025Q4,2025-10-01,SPI - 상업용 부동산 콘텐츠 & 데이터 애널리틱스,대형화 효과 확실히 누리는 'SK리츠' (부제:증자 없이 판교 오피스 편입) - SPI - 상업용 부동산 콘텐츠 & 데이터 애널리틱스,https://news.google.com/rss/articles/CBMiakFVX3lxTE0wUFdSVXFqMkZ3MVdGa0pfaWhCSER0SkU0NGNEanVlTWttbG0tTXd1RExydDNpV0laUWQ5YUpCUlZma1NOVk53VWtjbjNPQXNvQnJwWkNfM1VKcjdSX096UlRPRW9vMy04MXc?oc=5
리츠,2025Q4,2025-10-01,연합뉴스,서울 민간임대 공급절벽 없앤다…건축규제 풀고 리츠 출자지원 - 연합뉴스,https://news.google.com/rss/articles/CBMiW0FVX3lxTE1yNTlCa2F1aEhOSHhwdXNacUQ5Z0w0QlVTdXctN2tCSjVUSUNlSVh5YTFZVjRqOW8zQmJvNGVTbThoZkx0NXZqQzFYS3lZQ0NrLVFLQm81dTJ0N2_SAWBBVV95cUxNR09LNlNZY2NrUWxZOHAwYW9rRXdEUHNGZTIyMERVckp3MW0zVll5QjhlSm1xdWQwZGU3ck9yb2o2N2lBY25tbGJuRzlCQVhfZGdsYWhfcXREYnMtNGh6V3c?oc=5
리츠,2025Q4,2025-10-01,v.daum.net,서울시 민간임대 공급 정책 추진…건축규제 풀고 리츠 출자지원 - v.daum.net,https://news.google.com/rss/articles/CBMiT0FVX3lxTE9XcVoxVFowV01Oemx2OVBmQzNjVEZSaXRZYVk5N0hMcWhpVWpSY1c1ZlF2RmR2VjM3YzZESU1XSm1qUEJZZnRpZG9tWXoxenc?oc=5
오피스,2025Q1,2025-01-02,연합뉴스,"SK에코플랜트, 2027년 영등포로 사옥 이전한다 - 연합뉴스",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9DYUsyNkNzcUpmMWZCQjBXVDdJTURZaEg3VVpNVlpsWDhOaDVnN0lGUU1OZm44QUF4ZHRTUFdJRGR2aVBUZXZadEhVa2dXOFhCMk1PMm05aUxBMXPSAWBBVV95cUxOZjBoVWNHN3NOZVUxX0FVX0FWOXkwTG5wMGNURFJFS1E3c3VkdmYzY0NiUVh2LS1uSkVFdUZUWG04VWcwY2sxN3Vha3hRQjJOc18wc1pOQnJBZGFXWlJ0T2I?oc=5
오피스,2025Q1,2025-01-03,businesspost.co.kr,"SK에코플랜트 서울 영등포로 통합 사옥 이전, SK엔지니어링과 시너지 창출 - businesspost.co.kr",https://news.google.com/rss/articles/CBMic0FVX3lxTFB6Vl9VeEZ2MTJ5bzRtclE5WlVaM0J0WmJ1N2xtUFdybi1QSExxdFpkb3VNN0pwVzd3RF9KVDVTQjZrMGJuWXp1ak81NHQxVjNJaTFVZUx5TV96YlRCdHJGLVVhNDJveGRkNkNjTkRJOHFpbkU?oc=5
오피스,2025Q1,2025-01-05,매일경제 마켓,“올 부동산시장 심상치않다”...큰손들 서울역·강남 오피스 매각 속도 높인다는데 - 매일경제 마켓,https://news.google.com/rss/articles/CBMiUEFVX3lxTE5TV1FBUy13Y0dXWTVKS0xkNmUtclFobjF6WnhOWG12TnVwZDVMY1NNcUpiUzV2WjdVc0RKaTVvZnJpcjBwWXY3ckp5MHUySnk3?oc=5
오피스,2025Q2,2025-04-04,매일경제,"2兆 오피스 판교 테크원타워 매각 속도…주관사 CBRE, 쿠시먼 선정 - 매일경제",https://news.google.com/rss/articles/CBMiUkFVX3lxTE4zUDZDaU1qb1hkUzlkdkdMOXE3Y1pHNzUxYWdHcG5hTE9VeEV3bHNZUlVsaG5EaVZKU2NDUGRHNGprWHluVUpxenRKbjJBUXpqQVE?oc=5
오피스,2025Q2,2025-04-04,매일경제 마켓,"2兆 오피스 판교 테크원타워 매각 속도…주관사 CBRE, 쿠시먼 선정 - 매일경제 마켓",https://news.google.com/rss/articles/CBMiUEFVX3lxTE1yd1JoU09yRnFsYWlMSXFuNzZKWnpLNUhlczA4NmdBRlVFV3BSMW56dnRBVlIwd2dhQWhpVlpVOHFLMGgzZWNkQXI0Y1hHTl9Q?oc=5
오피스,2025Q2,2025-04-08,dt.co.kr,"""오피스 짓다 말고 호텔로?"" 서울 도심 `호텔 컨버전` 늘어 - dt.co.kr",https://news.google.com/rss/articles/CBMiTkFVX3lxTE5yOTU0NnZHQU5uQWw1Q3gteFBtV3NBUnNCdVRaMzBvUWpjZVpYWG96WkY1bXhlY3RFYUQtd1hUUUdkU0s0eEJfbUM5dkMtdw?oc=5
