domain,severity,issue_type,fund_id,source_asset_name,db_asset_candidates_for_fund,recommendation,asset_id,db_asset_name,relation_type
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112146,V플렉스,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112160,지엘가산메트로 주식회사,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112175,151호 수익증권(재간접),부평 더샵센트럴시티 공공지원민간임대주택,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112205,건대몰오브K,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112209,센터필드,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112210,센터필드,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112211,센터필드,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112212,센터필드,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112237,오투타워,타임테라스동탄,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112237,타임워크명동,타임테라스동탄,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112237,서울로타워,타임테라스동탄,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112268,트레블로지명동시티홀호텔,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112270,반포이수화학본사사옥,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112271,반포이수화학본사사옥,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112272,반포이수화학본사사옥,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112305,금강타워3,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112350,타임워크명동,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112351,타임워크명동,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112362,GRAN PASEO 혼코마고메,Tokyo District 23 Residential Portfolio,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112362,PASEO 신주쿠,Tokyo District 23 Residential Portfolio,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112362,PASEO 오기쿠보,Tokyo District 23 Residential Portfolio,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112362,PASEO 사사즈카,Tokyo District 23 Residential Portfolio,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112362,GRAN PASEO 신주쿠,Tokyo District 23 Residential Portfolio,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112362,PASEO 시모키타자와,Tokyo District 23 Residential Portfolio,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112362,GRAN PASEO 칸다에키마에,Tokyo District 23 Residential Portfolio,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112362,LEGALAND 와세다미나미,Tokyo District 23 Residential Portfolio,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112362,PASEO 토부네리마,Tokyo District 23 Residential Portfolio,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112362,아버하이츠 오우기오하시,Tokyo District 23 Residential Portfolio,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112365,CGV대학로,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
