domain,severity,issue_type,fund_id,field,source_column,db_column,source_value,db_value,difference,recommendation,asset_id,asset_code,db_api_enrichment_status,db_building_ledger_source,source_asset_name,db_asset_candidates_for_fund,db_asset_name,relation_type,source_rows,db_rows
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,북미,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_5cb81c5d6700,A112578001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,OVERSEAS,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_5cb81c5d6700,A112578001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,business_stage,사업단계,business_stage,부실,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_bfb1c5d3da5c,A112579001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_bfb1c5d3da5c,A112579001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,business_stage,사업단계,business_stage,운영/실물,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_74b58d4dd7c7,A112582001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,북미,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_74b58d4dd7c7,A112582001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,OVERSEAS,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_74b58d4dd7c7,A112582001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_fe67309c28e2,A112584001,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_fe67309c28e2,A112584001,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_0595e7f4dccc,A112584002,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_0595e7f4dccc,A112584002,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_119638464007,A112584003,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_119638464007,A112584003,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_7b19a096c506,A112584004,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_7b19a096c506,A112584004,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_9053eb385f92,A112584005,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_9053eb385f92,A112584005,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_71ccb419b102,A112584006,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_71ccb419b102,A112584006,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_5ffda8a73763,A112584007,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_5ffda8a73763,A112584007,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_dfe3a3dedda0,A112584008,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_dfe3a3dedda0,A112584008,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_49a86c456d87,A112584009,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_49a86c456d87,A112584009,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_181f610edf73,A112584010,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_181f610edf73,A112584010,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_62b8dcc42c6b,A112584011,pending,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_62b8dcc42c6b,A112584011,pending,,,,,,,
