domain,severity,issue_type,fund_id,field,source_value,db_value,difference,source_rows,db_rows,recommendation
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112413,remaining,16358445619,13898445619,2460000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112482,committed,78872687000,77708879000,1163808000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112482,remaining,22208815688,21045007688,1163808000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112486,committed,30158000000,29666000000,492000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112486,remaining,7039106082,6547106082,492000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112494,committed,193229300000,190378100000,2851200000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112494,remaining,51399811489,48548611489,2851200000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112501,committed,152297900000,149813300000,2484600000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112501,remaining,2963449174,478849174,2484600000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112521,committed,301580000000,296660000000,4920000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112521,remaining,24683714704,19763714704,4920000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112558,committed,175663000000,173071000000,2592000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112558,invested,148706451527,147024498707,1681952820,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112558,remaining,26956548473,26046501293,910047180,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112568,committed,60150081600,59320525600,829556000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112568,remaining,31445120852,30615564852,829556000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112576,committed,52776500000,51915500000,861000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112576,remaining,3628913404,2767913404,861000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112577,committed,52776500000,51915500000,861000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112577,remaining,21049283241,20188283241,861000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112578,committed,52776500000,51915500000,861000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112578,remaining,19719360561,18858360561,861000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112585,committed,45237000000,44499000000,738000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112585,remaining,3069902490,2331902490,738000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112588,committed,355264000000,352378000000,2886000000,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112588,remaining,-9668138150,-12554138150,2886000000,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112601,committed,60692975000,59702825000,990150000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112601,remaining,21968138649,20977988649,990150000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112602,invested,59166310912,59447401920,-281091008,6,6,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112602,remaining,64833689088,64552598080,281091008,6,6,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112607,committed,105553000000,103831000000,1722000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112607,remaining,14640890000,12918890000,1722000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112617,committed,75395000000,74165000000,1230000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112617,remaining,-12260555877,-13490555877,1230000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112619,committed,98013500000,96414500000,1599000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112619,remaining,42265247682,40666247682,1599000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112621,committed,116002747000,114110269000,1892478000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112621,invested,87541989682,88075982169,-533992487,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112621,remaining,28460757318,26034286831,2426470487,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112622,committed,49715463000,48904401000,811062000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112622,remaining,9895864892,9084802892,811062000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112625,committed,45237000000,44499000000,738000000,1,1,Review row-level exposure changes before replacing detail table.
