project_name,primary_asset_id,master_project_id,master_project_code,mission_project_id,mission_project_code_before,mission_project_code_after,payload_fields
구로 지밸리 프로젝트,,project_notion_3268ced4-3c47-8160-8cf7-e12b0111266c,PRJ-22,project_notion_3258ced4-3c47-8161-8493-d0533ea0fe3e,,PRJ-22,"metadata,project_code"
"Atlanta Office Midtown I, Atlanta Office Midtown II, Atlanta Office Midtown 주차빌딩",ast_2dabc46c306b,project_notion_3268ced4-3c47-8162-8149-efbb53678191,PRJ-111,project_notion_3258ced4-3c47-815f-b2c0-d9be44fbd27e,,PRJ-111,"metadata,project_code"
을지로3가 10지구,ast_5d4460265c4e,project_notion_3268ced4-3c47-8162-a8b7-df7bc124ded0,PRJ-57,project_notion_3258ced4-3c47-81f5-be7c-d44bb26eea52,,PRJ-57,"metadata,project_code"
둔산파이낸스센터,ast_e547d4e384c5,project_notion_3268ced4-3c47-8162-bbc1-c31d85c20612,PRJ-31,project_notion_3258ced4-3c47-8191-b315-e81df37e9631,,PRJ-31,"metadata,project_code"
이오타서울 427,,project_notion_3268ced4-3c47-8165-8ff6-e4763681b23a,PRJ-160,project_notion_3258ced4-3c47-818d-9da5-c27149a74a92,,PRJ-160,"metadata,project_code"
US Courtyard by Marriott Portfolio Mezzanine A Loan,ast_9de000745f5e,project_notion_3268ced4-3c47-8165-bc3d-fcfa6daf78ae,PRJ-104,project_notion_3258ced4-3c47-8139-9590-ed11ea9d7b29,,PRJ-104,"metadata,project_code"
양산 석암 물류센터,ast_4a2972f3fd4f,project_notion_3268ced4-3c47-8167-a328-f06e22dc7dcc,PRJ-10,project_notion_3258ced4-3c47-817e-9179-d285c2009a46,,PRJ-10,"metadata,project_code"
"Sanofi 본사(파리), Bell 본사(몬트리올), OJP사옥(워싱턴)",ast_bc4589571b0d,project_notion_3268ced4-3c47-8169-a369-de52c7a26de5,PRJ-124,project_notion_3258ced4-3c47-8122-b87b-da27e0bf4951,,PRJ-124,"metadata,project_code"
시그니쳐타워,,project_notion_3268ced4-3c47-816b-9774-fd5790ed0ba2,PRJ-180,project_notion_3258ced4-3c47-81ba-b46d-e7002cae3309,,PRJ-180,"metadata,project_code"
TH Real Estate China Outlet Mall Fund,ast_b439b42b3d44,project_notion_3268ced4-3c47-816a-92dd-d278c996b3c0,PRJ-95,project_notion_3258ced4-3c47-811b-8c7f-c3ccbce5cadd,,PRJ-95,"metadata,project_code"
아레나스 안성,ast_d3958acf9d57,project_notion_3268ced4-3c47-816b-bc66-d6dc896e5830,PRJ-137,project_notion_3258ced4-3c47-8126-ad66-f2a6056c4254,,PRJ-137,"metadata,project_code"
더강남832,,project_notion_3268ced4-3c47-816c-88df-fe9f52b3f3c6,PRJ-27,project_notion_3258ced4-3c47-81bd-8cae-d653d94a7a92,,PRJ-27,"metadata,project_code"
미국 뉴욕 맨하탄 소재 오피스 자산 “285 Madison Avenue”의 선순위 담보대출,ast_4273abf1dd9d,project_notion_3268ced4-3c47-8170-877d-d4ac221a3d08,PRJ-81,project_notion_3258ced4-3c47-81a5-bc98-e3f88c29b4fb,,PRJ-81,"metadata,project_code"
포포인츠바이쉐라톤 서울 명동,,project_notion_3268ced4-3c47-81ef-a723-f047fb5593c8,PRJ-183,project_notion_3258ced4-3c47-819e-838b-e9b1fd4015b0,,PRJ-183,"metadata,project_code"
태평로빌딩,,project_notion_3268ced4-3c47-81e7-8608-d7f1f1b9841c,PRJ-37,project_notion_3258ced4-3c47-81e5-b37d-ec3ca820bf1e,,PRJ-37,"metadata,project_code"
UBS Trumbull Property Income Fund,ast_8a2bc4422178,project_notion_3268ced4-3c47-8170-b1cf-fb18043205ae,PRJ-102,project_notion_3258ced4-3c47-817d-bebf-d3487e98e8a7,,PRJ-102,"metadata,project_code"
인천 석남 물류센터,ast_0920c9043185,project_notion_3268ced4-3c47-8175-ac2a-f97421459f44,PRJ-148,project_notion_3258ced4-3c47-8166-8841-e0de7316e354,,PRJ-148,"metadata,project_code"
이태원 문집·근생 개발사업,,project_notion_3268ced4-3c47-8176-9f29-d56e173b78a7,PRJ-58,project_notion_3258ced4-3c47-8111-946e-d89cf4d304f9,,PRJ-58,"metadata,project_code"
아레나스 양지,ast_3aee5443a745,project_notion_3268ced4-3c47-8178-8c58-f9e27b506db3,PRJ-146,project_notion_3258ced4-3c47-81b7-91a0-d8146935f603,,PRJ-146,"metadata,project_code"
선릉 위워크타워,,project_notion_3268ced4-3c47-8179-babe-c4047484b7be,PRJ-144,project_notion_3258ced4-3c47-8101-952b-d1a487343d32,,PRJ-144,"metadata,project_code"
미국 Scannell 물류 선매입 (No. 417),,project_notion_3268ced4-3c47-817a-be45-ccc436b74ea4,PRJ-109,project_notion_3258ced4-3c47-81f0-a6c8-d9a8b4cc6a1d,,PRJ-109,"metadata,project_code"
Apollo European Principal Finance Fund IV,ast_f78917a3690c,project_notion_3268ced4-3c47-817d-a536-e0e314dd4828,PRJ-85,project_notion_3258ced4-3c47-818b-9ada-c0f8fac21d0a,,PRJ-85,"metadata,project_code"
맹그로브 동대문,,project_notion_3268ced4-3c47-817f-86cf-e42d208ceef8,PRJ-65,project_notion_3258ced4-3c47-8117-8895-cc0dfe9cf471,,PRJ-65,"metadata,project_code"
Abry Advanced Securities Fund III CV-A,ast_4d35344df3a2,project_notion_3268ced4-3c47-817e-84dc-db6eb8dee5f2,PRJ-83,project_notion_3258ced4-3c47-81a6-a433-ed34928f9dcb,,PRJ-83,"metadata,project_code"
ARDIAN Infrastructure Fund VI,ast_4ae20e9370ca,project_notion_3268ced4-3c47-8184-9808-dea3ff489d9c,PRJ-87,project_notion_3258ced4-3c47-81f8-b08d-e7fdd34ce1d7,,PRJ-87,"metadata,project_code"
정동빌딩,,project_notion_3268ced4-3c47-819d-b3ef-e170bfa31e7e,PRJ-33,project_notion_3258ced4-3c47-8156-a370-d097e997f0bd,,PRJ-33,"metadata,project_code"
New York 787 Seventh Avenue Mezzanine Loan,ast_e82ed4b638d4,project_notion_3268ced4-3c47-8185-aa6b-f930c7c1d8b3,PRJ-186,project_notion_3258ced4-3c47-8193-99e0-f53579aa8e9f,,PRJ-186,"metadata,project_code"
IAYD,ast_0bed91ccb4ec,project_notion_3268ced4-3c47-8186-9bf6-f3c210b23ec1,PRJ-17,project_notion_3258ced4-3c47-8147-9434-e49976f6eaf9,,PRJ-17,"metadata,project_code"
Washington D.C. Washington Square Mezzanine Loan,ast_7a41b6b1cb32,project_notion_3268ced4-3c47-8186-ae59-ccdbad5d7d04,PRJ-197,project_notion_3258ced4-3c47-8110-9810-c4c422e5c402,,PRJ-197,"metadata,project_code"
공무원연금관리공단 글로벌부동산 재간접펀드 (AEW / Brookfieild) 설정,ast_4ce1803146bf,project_notion_3268ced4-3c47-8187-9c21-dde39ac7bb68,PRJ-80,project_notion_3258ced4-3c47-81fb-90c0-e6f4f92bb974,,PRJ-80,"metadata,project_code"
동일타워,ast_0eebe3722ecd,project_notion_3268ced4-3c47-8187-a4aa-cd3b979ff0a1,PRJ-30,project_notion_3258ced4-3c47-8131-9a62-c15e42f4c623,,PRJ-30,"metadata,project_code"
용산 더프라임,ast_6c15b114075c,project_notion_3268ced4-3c47-818b-8630-ff8cfc5a364a,PRJ-138,project_notion_3258ced4-3c47-814f-8090-fc2a4dd7a5ac,,PRJ-138,"metadata,project_code"
맹그로브 신설,,project_notion_3268ced4-3c47-818b-b9db-ea44f7fbf8dc,PRJ-66,project_notion_3258ced4-3c47-81b5-b572-d737e7319a8c,,PRJ-66,"metadata,project_code"
