group_name,counterparty_registered_name,categories,source_systems,project_count_max,source_record_total,latest_base_date,priority_score,importance_level,coverage_note
NH농협손해보험,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",3,4,2025-11-30,34,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=4"
롯데손해보험,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",3,4,2025-11-30,34,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=4"
비씨카드,,"['????(??)', 'FI']",lender_snapshot,3,4,2025-11-30,34,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=4"
이지스밸류플러스리츠,,['?????(LP)'],beneficiary_snapshot,3,4,2025-11-30,34,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=4"
진주저축은행,,"['????(??)', 'FI']",lender_snapshot,3,4,2025-11-30,34,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=4"
코리안리재보험(주),,['?????(LP)'],beneficiary_snapshot,3,4,2025-11-30,34,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=4"
BNK경남은행,,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
Reco Marigold Private Limited.,,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
교보리얼코,,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
교보자산신탁,,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
담배인삼공제회,,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
롯데캐피탈,,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
상상인저축은행,,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
서울보증보험,,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
신협(부산진신용협동조합),,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
신협(성남중앙신용협동조합),,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
신협(이천신용협동조합),,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
신협(장안신용협동조합),,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
애큐온저축은행,,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
에셀유한회사,,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
오케이저축은행,,"['????(??)', 'FI']",lender_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
우정사업본부(예금),,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
이규성,,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
이지스리빙플랫폼일반사모부동산자투자신탁제1호(Blind),,['?????(LP)'],beneficiary_snapshot,3,3,2025-11-30,33,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=3"
