alias_id,entity_id,alias_name,alias_type,source_system,confidence,notes
AL000049,SH000049,G9 Asia X. Pte. Ltd.,exact,seed_master,1.0,
AL000050,SH000050,GFI,exact,seed_master,1.0,
AL000051,SH000051,GIB홈플러스,exact,seed_master,1.0,
AL000052,SH000052,GIC,exact,seed_master,1.0,
AL000053,SH000053,GS건설,exact,seed_master,1.0,
AL000054,SH000054,GS리테일,exact,seed_master,1.0,
AL000055,SH000055,Gangnam Asset PTE.LTD,exact,seed_master,1.0,
AL000056,SH000056,HB저축은행,exact,seed_master,1.0,
AL000057,SH000057,HSBC자산운용,exact,seed_master,1.0,
AL000058,SH000058,HS화성,exact,seed_master,1.0,
AL000059,SH000059,I.O.IV,exact,seed_master,1.0,
AL000060,SH000060,IADC2호,exact,seed_master,1.0,
AL000061,SH000061,IBK기업은행,exact,seed_master,1.0,
AL000062,SH000062,IBK연금보험,exact,seed_master,1.0,
AL000063,SH000063,IBK저축은행,exact,seed_master,1.0,
AL000064,SH000064,IBK캐피탈,exact,seed_master,1.0,
AL000065,SH000065,IBK투자증권,exact,seed_master,1.0,
AL000066,SH000066,IGIS Asia Data Center 1 Pte. Ltd.,exact,seed_master,1.0,
AL000067,SH000067,IOIV,exact,seed_master,1.0,
AL000068,SH000068,IRE-RE-SA SICAV-SIF,exact,seed_master,1.0,
AL000069,SH000069,Icheon REF Pte.Ltd,exact,seed_master,1.0,
AL000070,SH000070,Infineon,exact,seed_master,1.0,
AL000071,SH000071,Invesco,exact,seed_master,1.0,
AL000072,SH000072,Invesco Investments(Bermuda),exact,seed_master,1.0,
AL000073,SH000073,JB우리캐피탈,exact,seed_master,1.0,
AL000074,SH000074,JLL,exact,seed_master,1.0,
AL000075,SH000075,KB,exact,seed_master,1.0,
AL000076,SH000076,KB국민은행,exact,seed_master,1.0,
AL000077,SH000077,KB국민은행(A),exact,seed_master,1.0,
AL000078,SH000078,KB국민은행(공모),exact,seed_master,1.0,
AL000079,SH000079,KB국민은행(이지스일반사모부동산투자신탁421호의 신탁업자),exact,seed_master,1.0,
AL000080,SH000080,KB국민은행(한국투자올에셋부동산11호의 신탁업자 지위),exact,seed_master,1.0,
AL000081,SH000081,KB라이프생명보험,exact,seed_master,1.0,
AL000082,SH000082,KB생명,exact,seed_master,1.0,
AL000083,SH000083,KB생명보험,exact,seed_master,1.0,
AL000084,SH000084,KB손해보험,exact,seed_master,1.0,
AL000085,SH000085,KB저축은행,exact,seed_master,1.0,
AL000086,SH000086,KB증권,exact,seed_master,1.0,
AL000087,SH000087,KB증권(A),exact,seed_master,1.0,
