group_name,group_code,member_entities,source_systems,group_mapping_status,entity_count,role_count,latest_base_date,dominant_stakeholder_type
삼성증권,group,삼성증권,"beneficiary_snapshot,lender_snapshot",self,1,2,2025-11-30,금융기관(대주)
삼성화재,group,삼성화재,"beneficiary_snapshot,lender_snapshot",self,1,2,2025-11-30,금융기관(대주)
삼양홀딩스,group,삼양홀딩스,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
삼우,group,삼우,counterparty_seed,self,1,1,,운영/시공 파트너
삼우 CM,cm,삼우 CM,counterparty_seed,self,1,1,,운영/시공 파트너
삼우디씨디,group,삼우디씨디,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
삼우씨엠건축사사무소,group,삼우씨엠건축사사무소,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
삼정저축은행,group,삼정저축은행,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
삼한교역상사,group,삼한교역상사,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
상상인저축은행,group,상상인저축은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
서귀포동부신용협동조합,group,서귀포동부신용협동조합,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
서리풀클라우드,group,서리풀클라우드,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
서민이엔씨,group,서민이엔씨,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
서울보증보험,group,서울보증보험,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
서울시,group,서울시,t5t_dashboard,self,1,1,2026-04-13,공공/행정기관
서천신용협동조합,group,서천신용협동조합,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
선매수자,group,선매수자,t5t_dashboard,self,1,1,2026-03-30,매수/매도인
선우건축,group,선우건축,counterparty_seed,self,1,1,,운영/시공 파트너
성담,group,성담,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
성담솔트베이,group,성담솔트베이,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
성지제강,group,성지제강,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
세람저축은행,group,세람저축은행,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
세미파이브,group,세미파이브,t5t_dashboard,self,1,1,2026-04-17,임차인
세빌스,group,세빌스,t5t_dashboard,self,1,1,2026-04-13,주간사/자문
세종네트웍스,group,세종네트웍스,counterparty_seed,self,1,1,,운영/시공 파트너
세종텔레콤,group,세종텔레콤,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
세콘도,group,세콘도,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
센트럴저축은행,group,센트럴저축은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
수산업협동조합중앙회,group,수산업협동조합중앙회,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
수지신용협동조합,group,수지신용협동조합,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
수협은행,group,수협은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
수협중앙회,group,수협중앙회,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
스마일게이트,group,스마일게이트,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
스카이밸류,group,스카이밸류,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
스카이저축은행,group,스카이저축은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
스탠다드차타드은행,group,스탠다드차타드은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신세계,group,신세계,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
신세계프라퍼티,group,신세계프라퍼티,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
신용협동조합중앙회,group,신용협동조합중앙회,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
신진솔루션즈,group,신진솔루션즈,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
신한,shinhan,신한 | 신한금융투자 | 신한라이프생명보험 | 신한은행 | 신한카드 | 신한캐피탈 | 신한투자증권,"beneficiary_snapshot,lender_snapshot,t5t_dashboard",mapped,7,12,2026-04-17,금융기관(대주)
신한금융플러스,group,신한금융플러스,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
신한은행(연기금통합일반사모증권투자신탁제141호의 신탁업자로서),141,신한은행(연기금통합일반사모증권투자신탁제141호의 신탁업자로서),beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
신한은행(캡스톤APAC2호의 신탁업자 지위),apac2,신한은행(캡스톤APAC2호의 신탁업자 지위),beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
신협(강릉신용협동조합),group,신협(강릉신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(강서신용협동조합),group,신협(강서신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(검단신용협동조합),group,신협(검단신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(경기광주신용협동조합),group,신협(경기광주신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(경남가온신용협동조합),group,신협(경남가온신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(경남제일신용협동조합),group,신협(경남제일신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(경남중앙신용협동조합),group,신협(경남중앙신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(경남한의사신용협동조합),group,신협(경남한의사신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(경동신용협동조합),group,신협(경동신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(계산신용협동조합),group,신협(계산신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(공주중앙신용협동조합),group,신협(공주중앙신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(광안신용협동조합),group,신협(광안신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(광장신용협동조합),group,신협(광장신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(광주동부신용협동조합),group,신협(광주동부신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(광주신우신용협동조합),group,신협(광주신우신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(구덕신용협동조합),group,신협(구덕신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(구포신용협동조합),group,신협(구포신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(금모래신용협동조합),group,신협(금모래신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(금정신용협동조합),group,신협(금정신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(김제신용협동조합),group,신협(김제신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(남광주신용협동조합),group,신협(남광주신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(남서울신용협동조합),group,신협(남서울신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(남청주신용협동조합),group,신협(남청주신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(달구벌신용협동조합),group,신협(달구벌신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(대구태영신용협동조합),group,신협(대구태영신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(대원신용협동조합),group,신협(대원신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(동대구신용협동조합),group,신협(동대구신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
신협(동수원신용협동조합),group,신협(동수원신용협동조합),lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
