crm_db_version,entity_id,canonical_name,display_name,group_name,group_code,group_mapping_status,group_rule_id,counterparty_general_name,counterparty_registered_name,counterparty_category,counterparty_resource_list,related_projects_text,current_contact_points,next_target_project,entity_kind,primary_stakeholder_group_code,primary_stakeholder_type_code,primary_stakeholder_type_name,role_count,role_types,role_subtypes,source_systems,source_record_total,project_count_max,latest_base_date,owner_department,owner_manager,record_status,importance_level,relationship_status,interest_topics,key_requests,risk_notes,next_action,next_meeting_date,coverage_note
v0110,SH000391,삼성증권,삼성증권,삼성증권,group,self,,삼성증권,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,2,금융기관(대주) | 펀드 수익자,증권사,"beneficiary_snapshot,lender_snapshot",13,11,2025-11-30,"281호TF,글로벌펀드운용1",박종덕,seeded,,,,,,,,
v0110,SH000392,삼성화재,삼성화재,삼성화재,group,self,,삼성화재,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,2,금융기관(대주) | 펀드 수익자,보험사,"beneficiary_snapshot,lender_snapshot",20,11,2025-11-30,글로벌펀드운용3,정준우,seeded,,,,,,,,
v0110,SH000393,삼양홀딩스,삼양홀딩스,삼양홀딩스,group,self,,삼양홀딩스,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,수익자 일반,beneficiary_snapshot,1,1,2025-11-30,라이프리빙파트,이종훈,seeded,,,,,,,,
v0110,SH000394,삼우,삼우,삼우,group,self,,삼우,(주)삼우종합건축사사무소,설계사,https://www.notion.so/33d8ced43c4780dc8935ce5c06750574,해운대 L7,,,organization,project_partner,operator_contractor,운영/시공 파트너,1,운영/시공 파트너,설계사,counterparty_seed,1,1,,,,counterparty_seeded,,,,,,,,
v0110,SH000395,삼우 CM,삼우 CM,삼우 CM,cm,self,,삼우 CM,(주)삼우씨엠건축사무소,CM,https://www.notion.so/33d8ced43c4780a390a0ec442b572e5f,롯데백화점 분당점 리모델링; 고양삼송 데이터센터; 에이치밸류 KORNER 136; 안산 글로벌클라우드센터 개발; 부산육양국데이터센터; 해운대 L7,홍창의; 홍장군; 우형석,,organization,project_partner,operator_contractor,운영/시공 파트너,1,운영/시공 파트너,CM,counterparty_seed,1,6,,,홍창의; 홍장군; 우형석,counterparty_seeded,,,,,,,,
v0110,SH000396,삼우디씨디,삼우디씨디,삼우디씨디,group,self,,삼우디씨디,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,일반기업,beneficiary_snapshot,1,1,2025-11-30,라이프리빙파트,심동민,seeded,,,,,,,,
v0110,SH000397,삼우씨엠건축사사무소,삼우씨엠건축사사무소,삼우씨엠건축사사무소,group,self,,삼우씨엠건축사사무소,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,일반기업,beneficiary_snapshot,1,1,2025-11-30,CM그룹,권종엽,seeded,,,,,,,,
v0110,SH000398,삼정저축은행,삼정저축은행,삼정저축은행,group,self,,삼정저축은행,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,상호 저축은행 및 기타 저축기관,beneficiary_snapshot,1,1,2025-11-30,헤지펀드운용파트,이병윤,seeded,,,,,,,,
v0110,SH000399,삼한교역상사,삼한교역상사,삼한교역상사,group,self,,삼한교역상사,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,수익자 일반,beneficiary_snapshot,2,2,2025-11-30,개발,임한솔,seeded,,,,,,,,
v0110,SH000400,상상인저축은행,상상인저축은행,상상인저축은행,group,self,,상상인저축은행,,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),저축은행,lender_snapshot,3,3,2025-11-30,라이프리빙파트,박세민,seeded,,,,,,,,
v0110,SH000401,서귀포동부신용협동조합,서귀포동부신용협동조합,서귀포동부신용협동조합,group,self,,서귀포동부신용협동조합,,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,IOTA TF,조영비,seeded,,,,,,,,
v0110,SH000402,서리풀클라우드,서리풀클라우드,서리풀클라우드,group,self,,서리풀클라우드,,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),대주 일반,lender_snapshot,1,1,2025-11-30,개발관리실,최성현,seeded,,,,,,,,
v0110,SH000403,서민이엔씨,서민이엔씨,서민이엔씨,group,self,,서민이엔씨,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,수익자 일반,beneficiary_snapshot,1,1,2025-11-30,라이프리빙파트,김완혁,seeded,,,,,,,,
v0110,SH000404,서울보증보험,서울보증보험,서울보증보험,group,self,,서울보증보험,,,,,,,organization,capital_partner,fund_beneficiary,펀드 수익자,1,펀드 수익자,보험사,beneficiary_snapshot,3,3,2025-11-30,글로벌펀드운용3,이진희,seeded,,,,,,,,
v0110,SH000405,서울시,서울시,서울시,group,self,,서울시,,,,,,,organization,public_authority,public_body,공공/행정기관,1,공공/행정기관,공공기관 일반,t5t_dashboard,6,2,2026-04-13,,,seeded,,,,,,,,
v0110,SH000406,서천신용협동조합,서천신용협동조합,서천신용협동조합,group,self,,서천신용협동조합,,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,IOTA TF,조영비,seeded,,,,,,,,
