entity_role_id,entity_id,canonical_name,stakeholder_group_code,stakeholder_group_name,stakeholder_type_code,stakeholder_type_name,stakeholder_subtype_code,stakeholder_subtype_name,source_system,source_role_label,source_records,project_count,latest_base_date,owner_department,owner_manager,raw_type_label,raw_class_label,t5t_type_name,confidence,status,notes
SH000211-R01,SH000211,구봉산업,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,IOTA TF,한수정,,,기관투자자(LP),0.8,active,
SH000212-R01,SH000212,국가철도공단,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,라이프리빙파트,유한나,,,기관투자자(LP),0.8,active,
SH000213-R01,SH000213,국민연금,capital_partner,자본 파트너,institutional_lp,기관투자자(LP),lp_unknown,LP 일반,t5t_dashboard,기관투자자(LP),3,1,2026-04-13,,,기관투자자(LP),,기관투자자(LP),0.75,active,T5T 로그 키워드 기반 식별
SH000214-R01,SH000214,국민연금공단,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,pension_fund,연기금,beneficiary_snapshot,수익자,8,8,2025-11-30,자산관리1파트2,이정연,전문투자자,연기금,기관투자자(LP),0.95,active,
SH000215-R01,SH000215,국민연금공단(1종),capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,"전략펀드운용1실,자산관리1파트1",신채영,,,기관투자자(LP),0.8,active,
SH000216-R01,SH000216,국민연금공단(2종),capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,"전략펀드운용1실,자산관리1파트1",신채영,,,기관투자자(LP),0.8,active,
SH000217-R01,SH000217,군인공제회,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,mutual_aid_association,공제회,beneficiary_snapshot,수익자,6,5,2025-11-30,글로벌펀드운용1,오지원,전문투자자,공제회,기관투자자(LP),0.95,active,
SH000217-R02,SH000217,군인공제회,financing_partner,금융 파트너,lender,금융기관(대주),mutual_aid_association,공제회,lender_snapshot,대주,1,1,2025-11-30,IOTA TF,한수정,,공제회,금융기관(대주),0.95,active,
SH000218-R01,SH000218,굿포어스,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,corporate,일반기업,beneficiary_snapshot,수익자,1,1,2025-11-30,라이프리빙파트,심동민,일반투자자,일반기업,기관투자자(LP),0.95,active,
SH000219-R01,SH000219,그린웨이브알앤디,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,corporate,일반기업,beneficiary_snapshot,수익자,1,1,2025-11-30,라이프리빙파트,심동민,일반투자자,일반기업,기관투자자(LP),0.95,active,
SH000220-R01,SH000220,근영농산,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,corporate,일반기업,beneficiary_snapshot,수익자,1,1,2025-11-30,"281호TF,글로벌펀드운용1",박종덕,전문투자자,일반기업,기관투자자(LP),0.95,active,
SH000221-R01,SH000221,금성백조건설,project_partner,운영/시공 파트너,operator_contractor,운영/시공 파트너,contractor,시공사,counterparty_seed,시공사,1,1,,,,시공사,,,0.98,active,https://www.notion.so/33d8ced43c4780b4b1a5fa012676b57b
SH000222-R01,SH000222,금성백조주택,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,corporate,일반기업,beneficiary_snapshot,수익자,4,4,2025-11-30,글로벌펀드운용1,이수현,전문투자자,일반기업,기관투자자(LP),0.95,active,
SH000223-R01,SH000223,금화저축은행,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,상호 저축은행 및 기타 저축기관,beneficiary_snapshot,수익자,1,0,2025-11-30,헤지펀드운용파트,이병윤,전문투자자,상호 저축은행 및 기타 저축기관,기관투자자(LP),0.95,active,
SH000224-R01,SH000224,기관투자자,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,1,1,2025-11-30,자산관리1파트2,박용범,,,기관투자자(LP),0.8,active,
