펀드코드,약칭,펀드명,섹터
112530,25호(1종),이지스전문투자형사모부동산투자신탁25호(1종),오피스
112014,18-2호,이지스KORIF사모부동산모투자신탁18-2호,오피스
112416,336호(2종),이지스전문투자형사모부동산투자신탁제336호 (2종), 
112110,117호,이지스코어오피스공모부동산투자신탁제117호,오피스
112339,300호(1종),이지스글로벌일반사모부동산투자신탁300호 (1종),물류
112050,46호,이지스해외간접PTELF사모부동산투자신탁제46호,물류
112167,162호(P),이지스전문투자형사모투자신탁162호(Class P), 
120107,130-5호,이지스일반사모부동산자투자신탁제130-5호,오피스
120106,130-4호,이지스일반사모부동산자투자신탁제130-4호,오피스
112454,367호(1종),이지스전문투자형사모부동산투자유한회사367호(1종), 
120034,랜드플랫폼1-3호(3종),이지스랜드플랫폼일반사모부동산투자신탁제1-3호(3종),지분증권
112284,250-2호,이지스글로벌전문투자형사모부동산투자신탁 250-2호, 
112145,138호,이지스미국전문투자형사모부동산투자신탁 138호, 
112123,105호(C3),이지스전문투자형사모부동산투자신탁105호 (Class C3), 
112272,248호(2종),이지스일반사모부동산투자신탁248호(2종),오피스
112523,398호,이지스글로벌일반사모투자신탁398호,복합(오피스)
112192,163-1호,이지스유럽일반사모부동산자투자신탁163-1호,오피스
112222,204호(파생형),이지스글로벌부동산투자신탁204호(파생형),오피스
112711,멀티인컴1호(A),이지스 멀티인컴 일반사모투자신탁 제1호(Class A),기타
112296,268호,이지스전문투자형사모투자신탁268호,복합(오피스)
112240,210호(B종),이지스제210호전문투자형사모부동산투자회사(최선순위B종), 
112020,17-2호,이지스KORIF사모부동산투자신탁17-2호,오피스
112591,416호(2종),이지스일반사모부동산투자신탁제416호(2종),복합(오피스)
112377,330호(2-A종),이지스일반사모부동산투자신탁제330호(2-A종),복합(리테일)
112462,371호(1종),이지스제371호전문투자형사모부동산투자회사(1종), 
112078,86호,이지스전문투자형사모부동산투자신탁86호,오피스
112204,196호(A),이지스부동산투자신탁196호(Class A), 
112044,43-2호,이지스사모부동산자투자신탁43-2호,호텔
112672,473호,이지스일반사모부동산투자신탁제473호(운용),지분증권
112307,NPL2호,이지스NPL일반사모부동산투자신탁제2호,NPL
112219,178호(2종),이지스전문투자형사모부동산투자신탁178호 2종,오피스
112255,241호,이지스전문투자형사모부동산투자신탁241호,특별자산
112796,18A호(1종),이지스일반사모부동산자투자신탁18A호(1종),리테일
112546,스트래티직1-4호,이지스스트래티직일반사모부동산모투자신탁제1-4호,오피스
112654,460호(1종),이지스일반사모부동산투자신탁460호(1종),주거
112108,112호,이지스글로벌전문투자형사모부동산투자신탁112호,호텔
300069,초단기채1호(C),이지스초단기채플러스일반사모투자신탁제1호(Class C),기타
112741,멀티인컴2호(A),이지스 멀티인컴 일반사모투자신탁 제2호 Class A,기타
112366,299호(A),이지스리테일부동산투자신탁299호 (Class-A),리테일
112461,371호,이지스제371호전문투자형사모부동산투자회사(운용),주거
112749,장기지분형1-1호(1종),이지스장기지분형일반사모부동산자투자신탁제1-1호(1종),물류
112716,KLIP 2호,Korea Logistics Investment Platform LP, 
R00003,R레지던스,이지스레지던스위탁관리부동산투자회사, 
