펀드코드,펀드명,AUM(약정),대주정보,수익자정보,자산정보
112663,464호,43170000000,X,O,O
112585,427호,43170000000,X,O,O
112645,453호,43170000000,X,O,O
112408,345호,43170000000,X,O,O
112625,448-5호,43170000000,X,O,O
200007,세컨더리2호,43170000000,X,O,O
112247,216호,43083660000,X,O,O
112719,해운대1호,42500000000,X,O,O
112051,52호,42249643100,X,O,O
200016,547호,42232750000,X,O,O
112450,365호,41564995000,X,O,O
112664,연기금글로벌리츠1호,39465132110,X,O,O
112668,465-1호,39125178000,X,O,O
112624,448-4호,38853000000,X,X,X
190010,426-1호,38000000000,X,X,X
P00025,P트리니티공주,37500000000,O,X,O
190014,572호,37340000000,X,O,O
112256,221호,37206540598,X,O,O
P00024,P안산센트럴,36047941737,O,X,O
112162,129-1호,35975000000,X,O,O
200014,528호,33786200000,X,O,O
112646,솔라일반사모5호,33100000000,X,O,O
200033,566호,31252235000,X,O,O
112785,482호,31000000000,X,X,X
112656,이익참여형메자닌 1-4호,30755500000,O,X,O
190008,550호,30000000000,X,O,O
200013,514호,28923900000,X,O,O
112026,20-1호,28794390000,X,O,O
200018,세컨더리3호,28780000000,X,O,O
112143,106호,28780000000,X,O,O
112497,380-2호,28583794729,X,O,O
112170,148-1호,28264816073,X,O,O
300067,초단기채1호,27393745594,X,X,O
120045,코어에너지1호,26030000000,X,O,O
120062,562호,26000000000,X,O,O
120063,562의1호,26000000000,X,X,X
112653,460호,26000000000,X,O,O
120074,567호,25100000000,X,O,O
112115,121호,25010000000,X,O,O
200001,521-1호,23733116190,X,O,O
112756,T-프런티어1호,23613026540,X,O,O
112528,이익참여형메자닌 1-3호,23205500000,O,X,O
112310,294호,23113115037,X,O,O
112032,20-3호,21599390000,X,O,O
200005,504-1호,21585000000,X,O,O
112180,167호,21585000000,X,O,O
112763,멀티인컴3호,20999510240,X,X,X
300039,멀티드래곤2호,20500000000,X,O,O
112685,469-1호,20221547500,X,O,O
300061,블랙ON1호,20200000000,X,O,O
P00001,P아이스퀘어,20000000000,X,O,O
120053,모빌리티1호,19479527837,X,O,O
112269,209-1호,19176784800,X,O,O
112171,148-2호,18843213296,X,O,O
200022,글로벌코어1호,18386444362,X,O,O
200027,558호,17230962000,X,O,O
120091,RE100솔라1호,17202000000,X,O,O
