entity_key,entity_type,entity_id,display_title,display_subtitle,source_table,source_id,confidence,status,metadata_json
project:project_notion_3258ced4-3c47-81cf-a86e-f27cc836db60,project,project_notion_3258ced4-3c47-81cf-a86e-f27cc836db60,이익참여형메자닌 1호,Project | 설정 후,projects,project_notion_3258ced4-3c47-81cf-a86e-f27cc836db60,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81cf-afee-c4a0e68e4772,project,project_notion_3258ced4-3c47-81cf-afee-c4a0e68e4772,AP Tower,PRJ-182 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81cf-afee-c4a0e68e4772,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d0-926e-e83378e0a117,project,project_notion_3258ced4-3c47-81d0-926e-e83378e0a117,"AUM 운용현황 분석 및 글로벌 플랫폼 마케팅 대응(MSCI, IREI, ANREV, IPE 각 사별 )",Mission,projects,project_notion_3258ced4-3c47-81d0-926e-e83378e0a117,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d0-a607-e5864be9c30d,project,project_notion_3258ced4-3c47-81d0-a607-e5864be9c30d,Hines Poland Sustainable Income Fund,Project | 설정 후,projects,project_notion_3258ced4-3c47-81d0-a607-e5864be9c30d,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d0-aae6-fed0986cadd7,project,project_notion_3258ced4-3c47-81d0-aae6-fed0986cadd7,애월 복합관광단지 개발사업,PRJ-53 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81d0-aae6-fed0986cadd7,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d3-92f5-dc55871321e7,project,project_notion_3258ced4-3c47-81d3-92f5-dc55871321e7,펀드 법인세 신고,Project | 설정 후,projects,project_notion_3258ced4-3c47-81d3-92f5-dc55871321e7,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d3-a117-f74f417a01d0,project,project_notion_3258ced4-3c47-81d3-a117-f74f417a01d0,리빙플랫폼 1호,Project | 설정 후,projects,project_notion_3258ced4-3c47-81d3-a117-f74f417a01d0,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d4-87f0-c8ebc9069f6d,project,project_notion_3258ced4-3c47-81d4-87f0-c8ebc9069f6d,제주 올레리조트,PRJ-34 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81d4-87f0-c8ebc9069f6d,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d4-9cfc-eb667306d728,project,project_notion_3258ced4-3c47-81d4-9cfc-eb667306d728,경산 스페셜시츄에이션,PRJ-20 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81d4-9cfc-eb667306d728,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81d6-9ad5-c8b268f68ae3,project,project_notion_3258ced4-3c47-81d6-9ad5-c8b268f68ae3,"Partners Group Tactical Real Estate Fund, L.P.",Project | 설정 후,projects,project_notion_3258ced4-3c47-81d6-9ad5-c8b268f68ae3,1.0,confirmed,{}
