asset_id,canonical_name,pnu,source_asset_id,source_kind,fill_fields,fill_count,new_site_area,new_scr,new_far,new_main_usage,new_structure,new_floors_up,new_parking,new_height,applied_fields,new_gross_floor_area,new_completion_date
ast_5ed13d6feb57,타임테라스동탄,4159710200100960000,ast_75c6cda594b3,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,4.8,0.0,리테일,철근콘크리트구조,6,옥내 663 / 옥외 0,29.2,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_b94e03e88d51,에이블로지스물류센터,4146135023107670013,ast_b1a009f2fa36,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,19604.0,4.0,39.92,물류,철골철근콘크리트구조,2,옥내 0 / 옥외 76,16.5,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_880b26b6e8be,판교아이스퀘어D동,4113111500103390000,ast_578a66328a1e,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,0.0,0.0,오피스복합,철근콘크리트구조,10,옥내 0 / 옥외 0,44.6,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_7a55d14dbec0,롯데마트대덕점,3020014600108870000,ast_9e54163d0926,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,33140.3,49.77,165.48,리테일,철근콘크리트구조,5,옥내 689 / 옥외 144,25.7,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_2235d1489ae1,부천카스퀘어,4119610700103660001,ast_6526b194cc13,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,13329.6,48.4797,297.086,자동차관련시설,철근콘크리트구조,9,옥내 482 / 옥외 39,34.8,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",87314.2,
ast_0dba05706295,판교아이스퀘어E동,4113111500103390000,ast_578a66328a1e,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,0.0,0.0,오피스복합,철근콘크리트구조,10,옥내 0 / 옥외 0,44.6,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_43a233492c49,신라모노그램 강릉 복합숙박시설,5115011400102590000,ast_8a93d35b0890,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,0.0,0.0,0.0,호텔,일반철골구조,1,옥내 0 / 옥외 0,5.0,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",0.1,
ast_d5a492f670ed,안성 홈플러스 중부허브 물류센터,4155038022109410000,ast_52adbb346181,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height,completion_date",9,0.0,4.03,0.0,물류,일반철골구조,1,옥내 0 / 옥외 0,8.3,"site_area,scr,far,main_usage,structure,floors_up,parking,height,completion_date,building_ledger_source,last_api_enriched_at,updated_at",,2012-10-05
ast_1daf77258172,천안성성7지구공동주택,4413310500103660003,ast_8bd8d91c9bb8,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,0.0,0.0,0.0,주거,일반철골구조,1,옥내 0 / 옥외 13,7.7,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_e28d1ea3fa3e,분당Hostway IDC,4113510700103430001,ast_7a35fc542c9f,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,3588.3,83.28,372.52,방송통신시설,일반철골구조,5,옥내 41 / 옥외 0,28.85,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
