asset_id,asset_code,canonical_name,proposed_physical_asset_name,proposed_non_physical_label,linked_fund_short_names,asset_type,asset_kind,review_status,has_address,has_pnu,cleanup_action,cleanup_reason
ast_5eb6a1cf88bd,A120059001,서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지,서울 서초구 반포동 64-1번지 일원 개발사업장 브릿지,,,주거,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_47df51a6036d,A112025004,호수빌딩,호수빌딩,,,오피스,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_51861017a45e,A112781001,채권,,노트/채권 · A112781001,,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_b8260924bf5c,A120022001,랜드플랫폼 1-1호,랜드플랫폼 1-1호,,,오피스복합,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_0713581af76f,A120106001,이지스 130호(모) 제1-1종 수익증권,이지스 130호(모) 제1-1종 수익증권,,,,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_585e399aa10a,A112081002,뉴코아아울렛(평촌),뉴코아아울렛(평촌),,,리테일,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_366f9df25803,A112081003,뉴코아아울렛(일산),뉴코아아울렛(일산),,,리테일,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_b826792d7e17,A112709001,비상장 상환전환우선주,비상장 상환전환우선주,,코스닥벤처1호,,physical_asset,verified,N,N,review_unknown_name,insufficient evidence for automatic physical name decision
ast_ac998c897426,A112709002,전환사채,,전환사채 · 코스닥벤처1호,코스닥벤처1호,,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_4d1430b5f175,A112709003,공모주,,"공모주 · 코스닥벤처1호, 멀티인컴1호, 멀티인컴1호(A) 외 35","코스닥벤처1호, 멀티인컴1호, 멀티인컴1호(A), 멀티인컴1호(C), 멀티인컴1호(C-i), 멀티인컴1호(C-g), 멀티인컴3호, 하이일드공모주1호, 하이일드공모주1호(A), 하이일드공모주1호(C), 하이일드공모주1호(C-i), 멀티인컴4호, 멀티드래곤1호, 인컴플러스2호, 인컴플러스3호, K본드알파2호, 하이일드2호, 하이일드2호(A), 하이일드2호(C1), 하이일드2호(C2), 셀렉K리츠목표달성형, 블루ON1호, 멀티드래곤2호, 코스닥벤처2호, 그린ON2호, 멀티드래곤4호, BDC1호, 멀티드래곤5호, 그린ON3호, 멀티플러스2호, 블랙ON1호, K-프런티어1호, 레포플러스1호, 코스닥벤처3호, 하이일드공모주3호, 그린ON4호, 멀티드래곤6호, 블루ON2호",,physical_asset,verified,N,N,suppress_financial_name,financial/security keyword without enough physical evidence
ast_d7cf5a8a230f,A112075001,유림빌딩,유림빌딩,,,리테일,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_223406583df1,A190009001,The-K호텔서울 부지 재개발사업,The-K호텔서울 부지 재개발사업,,,오피스복합,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_d8e5a4d52634,A112076001,US BioMed Portfolio Senior Loan,US BioMed Portfolio,,,오피스복합,physical_asset,verified,Y,N,strip_instrument_terms,"physical evidence exists, but name contains loan/security terms"
ast_31591298f257,A120119001,안성산하3지구물류센터개발사업,안성산하3지구물류센터개발사업,,,,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_9152993b89ea,A112082001,부실채권을 기초자산으로 하는 SPC의 출자지분 및 사채,부실채권을 기초자산으로 하는 SPC의 출자지분 및 사채,,,특별자산,physical_asset,verified,Y,N,review_financial_name_with_physical_evidence,"physical evidence exists, but name contains loan/security terms"
