relationship_status,asset_name,fund_name,project_name,asset_address,fund_asset_name,asset_kind,asset_type,fund_status,project_status,missing_parts,asset_id,fund_id,project_id,fund_short_name,fund_sector,project_type,fund_relation_type,project_relation_type,fund_exposure_role,fund_directness,fund_relation_confidence,project_relation_confidence,fund_lookup_status,project_lookup_status,project_lookup_source,fund_relation_source_table,fund_relation_source_id,project_relation_source_table,project_relation_source_id,asset_review_status,asset_source_confidence
missing_one_or_more_names,외삼2호,이지스일반사모투자신탁435호(태양광),,경상북도 봉화군 봉성면 외삼리 792 외,"다산1, 동서발전, 진이엔지, 현대산업쏠라5호, 케이앤스틸테크놀로지, 리에너지, 지우태양광, 에스지, 케이앤씨벨에포크, 케이에이치테크단북1호, 미션, 윈즈에너지, 이큐에너지, 소망, 청수, 봉산햇빛, 행암에너지일호, 도원에너지, 솔빛에너지, 에스와이솔라, 에이치엠솔라1, 이에스에이치12, 지티씨솔라13호, 강구16호, 외삼1호, 외삼2호, 솔라트리1호, 김송하, 에스이피브, 케이앤씨헤르메스, 모두에너지, 솔라팩토리10호, 씨에스에너텍, 알이씨에너지, 알이엔네트웍스, 어량리, 비케이솔라, 와이알에너지, 유현그린, 케이앤씨그린북, 디앤피상주, 적화솔라, 솔라시너지햇빛1호, 이인메가태양광, 솔라팩토리22호, 솔라팩토리19호",physical_asset,,운용,,project_name,ast_0db517682813,112584,,435호,특별자산,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58436,,,verified,0.94
missing_one_or_more_names,판교아이스퀘어E동,,,경기도 성남시 창업로 17,,physical_asset,오피스복합,,,fund_name; project_name,ast_0dba05706295,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,종로타워,,,서울특별시 종로구 종로2가 6,,physical_asset,오피스,,,fund_name; project_name,ast_0dc44d526fb4,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,반포이수화학본사사옥,,,서울시 서초구 반포동 112-4 외 8필지,,physical_asset,오피스,,,fund_name; project_name,ast_0e748b87e46f,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,판교아이스퀘어D동,,,경기도 성남시 수정구 창업로 17,,physical_asset,오피스복합,,,fund_name; project_name,ast_0e81972e2bec,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,"이지스411호(200호 재간접, 디어스 판교)",,,경기도 성남시 수정구 대왕판교로 815,,physical_asset,,,,fund_name; project_name,ast_0eb50d2cf958,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,Courtyard Detroit Warren,,,30190 Van Dyke Avenue,,physical_asset,호텔,,,fund_name; project_name,ast_0fa1343c8192,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,PASEO 사사즈카,,,일본 도쿄도 23구 내,,physical_asset,,,,fund_name; project_name,ast_10445d29926b,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,이지스제572호부동산일반사모투자회사(1종),,,,,physical_asset,데이터센터,,,fund_name; project_name,ast_10667fe678d4,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,코어그린에너지 주식 및 대여금,이지스코어에너지인프라일반사모투자신탁제1호,,,"한림그린에너지 주식 및 대여금, 코어그린에너지 주식 및 대여금, 이지스유에이치 주식 및 대여금, 유에이치파워 대여금, 와이에이치파워1 주식, 와이에이치파워2 주식, 와이에이치파워3 주식, 와이에이치파워4 주식",physical_asset,,운용,,project_name,ast_112711a59b76,120045,,코어에너지1호,특별자산,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58628,,,verified,0.94
