asset_id,canonical_name,review_status,source_confidence,match_reason,source_row_count,fund_ids,address_text,pnu,asset_code,latitude,longitude,site_area,gross_floor_area,main_usage,structure
ast_e47c4c7b3344,이지스이익참여형메자닌일반사모부동산모투자신탁제1-1호,auto_created,0.94,same_asset_code,1,112519,"경기도 오산시
오산세교2지구
M1BL",,A112519001,,,,209732.0,주거,
ast_d67f522a279c,이지스이익참여형메자닌전문투자형사모부동산모투자신탁제1-2호,auto_created,0.94,same_asset_code,1,112522,경기도 안성시 죽산면 당목리 995-46,,A112522001,37.036428524605,127.415778719498,,141203.0,물류,
ast_91b68c7952e3,이지스이익참여형메자닌일반사모부동산모투자신탁제1-3호,auto_created,0.94,same_asset_code,1,112528,인천광역시 서구 청라동 6-7,,A112528001,37.5517402489751,126.619444538305,,135268.0,주거,
ast_42ffd5c419d7,Hawaii Sky Ala Moana Senior B-note Loan,auto_created,0.94,same_asset_code,3,"112539, 112544, 112545","1388, 1400 & Kapiolani Boulevard, Honolulu, Hawaii, United States",,A112539001,,,,96893.0,오피스,
ast_20262366f9d0,Washington D.C. Office Midtown Center,auto_created,0.94,same_asset_code,2,"112540, 112541","1100 15th Street, NW Washington, D.C.",,A112540001,,,,80717.0,오피스,
ast_4a78efdfb00c,이지스제200호일반사모부동산투자유한회사 2종 수익증권,auto_created,0.94,same_asset_code,1,112542,,,A112542001,,,,,주거,
ast_2c327419d5d5,이지스유럽상장코어일반사모부동산투자신탁제89-1호,auto_created,0.94,same_asset_code,1,112543,,,A112543001,,,,,기타,
ast_7b6e6d2a39c2,이지스제403호전문투자형사모부동산투자유한회사(운용),auto_created,0.94,same_asset_code,1,112547,경기도 용인시 처인구 남사읍 완장리 산 100,,A112547001,37.1789132679295,127.177394285134,,116130.0,물류센터,
ast_e825b5c5a33f,KKR Real Estate Partners Europe II,auto_created,0.94,same_asset_code,1,112558,,,A112558001,,,,,오피스복합,
ast_834d830d4c5a,Manhattan Meatpacking Plaza Senior + Mezz Loan,auto_created,0.94,same_asset_code,1,112560,44-54 Ninth Avenue,,A112560001,,,,7145.0,오피스복합,
ast_f5220c768a13,이지스다이나믹글로벌리츠일반사모투자신탁1호,auto_created,0.94,same_asset_code,1,112564,,,A112564001,,,,,기타,
ast_a809ac0199e2,Nuveen Global Real Estate Debt Partners Fund III (UK),auto_created,0.94,same_asset_code,1,112568,,,A112568001,,,,,오피스복합,
ast_73e5216b97f6,이지스일반사모부동산투자신탁제426호(운용),auto_created,0.94,same_asset_code,1,112573,경기도 이천시 마장면 회억리 104,,A112573001,,,,44730.0,물류센터,
ast_8037c5fed7e0,"Macquarie Infrasturcture Partners V, L.P",auto_created,0.94,same_asset_code,1,112576,,,A112576001,,,,,특별자산,
ast_89a55348d21e,"Ardian Americas Infrastructure Fund V S.C.S., SICAV-RAIF",auto_created,0.94,same_asset_code,2,"112577, 112601",,,A112577001,,,,,특별자산,
ast_5cb81c5d6700,Goldman Sachs West Street Infrastructure Partner IV,auto_created,0.94,same_asset_code,2,"112578, 112619",,,A112578001,,,,,특별자산,
ast_bfb1c5d3da5c,이지스제420호전문투자형사모부동산투자회사(운용),auto_created,0.94,same_asset_code,1,112579,"서울 강서구 마곡동 지원시설용지 DSP1, DSP2",,A112579001,,,,,오피스복합,
ast_74b58d4dd7c7,"Albany, Cleveland, Omaha BTS Logistics",auto_created,0.94,same_asset_code,2,"112582, 112583",,,A112582001,,,,,물류,
ast_fe67309c28e2,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,전라남도 해남군 해남읍 복평리 995-7,,A112584001,34.5652010866154,126.538161665367,,,특별자산,
ast_0595e7f4dccc,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상북도 예천군 은풍면 부초리 산 44-1,,A112584002,36.7285810242574,128.450495709425,,,특별자산,
ast_119638464007,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,충청북도 진천군 문백면 평산리 산 54,,A112584003,36.8024109737305,127.477462083436,,,특별자산,
ast_7b19a096c506,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상북도 의성군 옥산면 입암리 7,,A112584004,36.3958816468692,128.843147572616,,,특별자산,
ast_9053eb385f92,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,"경상북도 상주시 내서면 노류리 산141-1, 572-1, 모서면 대포리 산20-5",,A112584005,,,,,특별자산,
ast_71ccb419b102,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상북도 상주시 사벌국면 용담리 산 42-1,,A112584006,36.4863553447739,128.218246150322,,,특별자산,
ast_5ffda8a73763,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상남도 산청군 산청읍 내수리 산 49-1,,A112584007,35.4334184893568,127.915850281403,,,특별자산,
ast_dfe3a3dedda0,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경기도 연천군 중면 합수리 122,,A112584008,38.1678167415454,127.053402835629,,,특별자산,
ast_49a86c456d87,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,전라남도 진도군 지산면 와우리 137-3,,A112584009,34.4273968869183,126.145784212296,,,특별자산,
ast_181f610edf73,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,"경상북도 예천군 풍양면 홍천리 356, 357, 390",,A112584010,,,,,특별자산,
ast_62b8dcc42c6b,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상북도 영주시 조와동 346,,A112584011,36.8736403288388,128.626195223085,,,특별자산,
ast_cbe24d6ebb07,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상북도 영주시 조와동 346,,A112584012,36.8736403288388,128.626195223085,,,특별자산,
ast_7672f8ce7f37,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상북도 영주시 조와동 346,,A112584013,36.8736403288388,128.626195223085,,,특별자산,
ast_dd8a51e02785,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,충청남도 서천군 서면 원두리 산 79-1,,A112584014,36.168802003673,126.581342475573,,,특별자산,
ast_1a611af09927,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,충청남도 서천군 서면 원두리 산 79-1,,A112584015,36.168802003673,126.581342475573,,,특별자산,
ast_b5b2968544d4,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,강원특별자치도 철원군 갈말읍 동막리 산 166-1,,A112584016,38.2394426585278,127.312215172602,,,특별자산,
ast_fc066c8daedb,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,충청남도 천안시 동남구 동면 행암리 401-8,,A112584017,36.809790645171,127.3499868511,,,특별자산,
ast_cb14a8027ca3,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상남도 하동군 양보면 감당리 산 85-1,,A112584018,35.0825905534168,127.82953436791,,,특별자산,
ast_401a2a614838,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상남도 함안군 군북면 장지리 659,,A112584019,35.2990769768325,128.33550030293,,,특별자산,
ast_f0b3bee2e7f8,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,강원특별자치도 화천군 사내면 용담리 602,,A112584023,38.083690321283,127.537473866627,,,특별자산,
ast_ecbd3dcd5c8a,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상북도 안동시 길안면 현하리 1115-19,,A112584024,36.4285769432021,128.842429666407,,,특별자산,
ast_d1b08df14213,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상북도 봉화군 봉성면 외삼리 793,,A112584025,36.889241582552,128.783669834076,,,특별자산,
ast_0db517682813,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상북도 봉화군 봉성면 외삼리 792,,A112584026,36.8889478963492,128.783858562063,,,특별자산,
ast_5d805aade4f5,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,충청북도 제천시 봉양읍 공전리 359-1,,A112584027,37.1079018205968,128.081126710735,,,특별자산,
ast_c22cfc14fece,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,강원특별자치도 영월군 상동읍 구래리 194-9,,A112584028,37.1678519743788,128.810643539037,,,특별자산,
ast_eb9fef2fb0a9,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경기도 연천군 중면 합수리 661,,A112584029,38.1372807538152,127.043659295094,,,특별자산,
ast_abdd62503393,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,전북특별자치도 남원시 대강면 송대리 3-7,,A112584030,35.37571592589,127.242014717232,,,특별자산,
ast_57c1d0a7ef1e,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경상북도 경주시 강동면 왕신리 산 141-1,,A112584031,35.9357160588788,129.322003418445,,,특별자산,
ast_1e2221e5e270,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경기도 포천시 자작동 595,,A112584032,37.8722224727945,127.16457033371,,,특별자산,
ast_97b4c5674171,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경기도 가평군 설악면 천안리 21-2,,A112584034,37.6309870272374,127.492471137095,,,특별자산,
ast_fcf7c1ac3c6e,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,경기도 가평군 설악면 천안리 14-1,,A112584035,37.6322878535948,127.489939995916,,,특별자산,
ast_dafd8d7ea9a9,이지스일반사모투자신탁435호(태양광),auto_created,0.94,same_asset_code,1,112584,"전라북도 익산시 밍상면 어량리 1743-14, 906-47, 906-46, 1743-13",,A112584036,,,,,특별자산,
