asset_id,canonical_name,address_text,fund_count,project_count,linked_fund_ids,linked_project_ids
ast_efc67c29f4e8,부천소사PFV(P00008),-,1,1,112451,112451
ast_f02b527b7861,이천 한익스프레스 물류센터 개발사업,경기도 이천시 설성면 대죽리 545-5외 22필지 일원,1,1,112301,112301
ast_f230c76d6975,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩",-,5,4,"112710, 112722, 300011, 300016, 300040","112722, 300011, 300016, 300040"
ast_f2df751470ee,Nuveen UK Enhanced Debt Fund,7개 포트폴리오,3,2,"112072, 112137, 112460","112072, 112137"
ast_f2e00117756f,B스퀘어,범천동 863-1,4,5,"112649, 112650, 112651, 112652","112649, 112650, 112651, 112652, project_notion_3258ced4-3c47-81c8-b04e-c4c90d87c1be"
ast_f341642853ae,인천 가좌동 오피스텔 선순위 PF,인천광역시 서구 가좌동 212-8,1,1,112213,112213
ast_f4fc6d89a82b,CBRE U.S. Credit Partners LP,-,1,2,112486,"112486, project_notion_3258ced4-3c47-8112-b63d-d3876e135412"
ast_f5307db6bfad,제주화북상업지역 주상복합용지 C1블럭 주상복합시설,-,1,3,P00028,"P00028, project_notion_3258ced4-3c47-8119-9a2d-caecb456ac92, project_notion_3268ced4-3c47-81cf-9c4d-eeec64e2f354"
ast_f541715b8374,Barcelona Office Nestle HQ,"Av. dels Països Catalans, 51, 08950 Esplugues de Llobregat, Barcelona, Spain",3,3,"112216, 112221, 112222","112216, 112221, 112222"
ast_f58dae267b1b,을지로부림빌딩,서울특별시 중구 을지로1가 71-9번지,1,1,112656,112656
ast_f5e665f7cf35,이지스일반사모부동산투자신탁294호,애월읍 신엄리 2867-3,1,3,112310,"112310, project_notion_3258ced4-3c47-81d4-87f0-c8ebc9069f6d, project_notion_3268ced4-3c47-813d-a930-dc7b3df89c3d"
ast_f5fc5bbdb980,London Office Ropemaker Place,"28 Ropemaker Place, London, EC2",4,4,"112019, 112020, 112021, 112022","112019, 112020, 112021, 112022"
ast_f78917a3690c,Apollo European Principal Finance Fund IV,-,1,3,112739,"112739, project_notion_3258ced4-3c47-818b-9ada-c0f8fac21d0a, project_notion_3268ced4-3c47-817d-a536-e0e314dd4828"
ast_f7a36f9524d4,뉴멕시코주 아마존 물류센터,-,6,4,"112502, 112503, 112506, 112507, 112508, 112509","112502, 112503, project_notion_3258ced4-3c47-819e-adc6-d2f3a6d1dad3, project_notion_3268ced4-3c47-815e-8d21-faffc769a215"
ast_fa4bc636d98d,"금융기관 등이 보유하는 담보부 부실 대출재권, 기타 부실징후자산 및 기업관련 대출 채권 등(블라인드)",-,1,7,120056,"120056, project_notion_3258ced4-3c47-8120-bf18-edd508d827a6, project_notion_3258ced4-3c47-8180-94e0-dfbdaa53d174, project_notion_3258ced4-3c47-81f2-9672-f0869c23d12e, project_notion_3268ced4-3c47-81ae-9c0e-fd1eb9b5e250, project_notion_3268ced4-3c47-81d0-a5e3-c394d9214f40, project_notion_3268ced4-3c47-81e8-b898-efd26d5e525c"
ast_fa825d8bd449,성수동 복합시설 개발사업,"서울특별시 성동구 성수동2가 314-10, 314-11, 314-27번지",1,3,P00010,"P00010, project_notion_3258ced4-3c47-814b-bf36-ec234ae43b2d, project_notion_3268ced4-3c47-81fa-9940-efbd6d41063d"
ast_fbe13b6b1e0a,글로벌 리츠,-,7,28,"112260, 112261, 112262, 112263, 112452, 300010, 300053","112260, 112261, 112262, 112263, 112334, 112335, 112411, 112425, 112426, 112427, 112429, 112430, 112432, 112434, 112435, 112436, 112437, 112438, 112439, 112440, 112441, 112543, 112564, 112626, 112664, 300010, 300053, project_notion_3258ced4-3c47-81b3-bd22-d1bdfae86357"
ast_fdc6a46958de,이지스제463호부동산일반사모투자회사 주식,-,1,1,112693,112693
ast_fe67309c28e2,다산1,해남군 해남읍 복평리 995-7,1,1,112584,112584
ast_ff8a69b5d1fd,San Mauro Torinese,"Piedmont, Torino, Italy",3,1,"112401, 112402, 112403",112401
