entity_type,entity_id,token_type,search_text,search_key,display_text,related_asset_id,related_fund_id,related_project_id,result_behavior,source
asset,ast_db5ed66e1434,asset_name,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112413,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_asset_drawer,project_name_cleanup_basis.final_asset_name
fund,112413,fund_name,이지스글로벌코어인프라일반사모특별자산투자신탁348호(재간접형),이지스글로벌코어인프라일반사모특별자산투자신탁348호,이지스글로벌코어인프라일반사모특별자산투자신탁348호(재간접형),ast_db5ed66e1434,112413,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_fund_drawer,funds.fund_name
fund,112413,fund_short_name,348호,348호,이지스글로벌코어인프라일반사모특별자산투자신탁348호(재간접형),ast_db5ed66e1434,112413,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_fund_drawer,funds.short_name
project,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112413,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_project_drawer,actual_projects.project_name
project_context,112413,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112413,112413,open_context_drawer,funds.project_mission_name
project_context,112521,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112413,112521,open_context_drawer,funds.project_mission_name
project_context,112607,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112413,112607,open_context_drawer,funds.project_mission_name
project_context,112684,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112413,112684,open_context_drawer,funds.project_mission_name
asset,ast_db5ed66e1434,asset_name,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112521,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_asset_drawer,project_name_cleanup_basis.final_asset_name
fund,112521,fund_name,이지스글로벌코어인프라일반사모특별자산투자신탁348-1호(재간접형),이지스글로벌코어인프라일반사모특별자산투자신탁3481호,이지스글로벌코어인프라일반사모특별자산투자신탁348-1호(재간접형),ast_db5ed66e1434,112521,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_fund_drawer,funds.fund_name
