project_display_class,asset_id,final_asset_name,asset_semantics,fund_id,final_fund_name,fund_name_status,project_id,current_project_name,project_display_name_candidate,project_display_name_source,project_display_kind,project_id_is_actual_project,project_id_is_pseudo_fund_context,project_name_contains_asset,project_name_contains_fund,project_name_has_purpose_word,project_name_vehicle_like,suggested_display_behavior
missing_project_relationship,ast_093042bc2e8e,해운대 L7,physical_asset,,,missing_fund_relationship,,,해운대 L7,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_09cbe4380781,솔라팩토리19호,physical_asset,,,missing_fund_relationship,,,솔라팩토리19호,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_09e5db3eee02,업스퀘어,physical_asset,,,missing_fund_relationship,,,업스퀘어,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0aa438f94f1a,와이에이치파워2 주식,physical_asset,120045,이지스코어에너지인프라일반사모투자신탁제1호,fund_name_verified,,,와이에이치파워2 주식 / 이지스코어에너지인프라일반사모투자신탁제1호,derived.asset_fund_pair,missing_project_derived_pair,false,false,true,true,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0abb69999d40,"StepStone Secondary Opportunities Fund V Offshore, L.P.",physical_asset,,,missing_fund_relationship,,,"StepStone Secondary Opportunities Fund V Offshore, L.P.",derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0ae67887921d,"메자닌, 공모주, 이벤트 드리븐",physical_asset,,,missing_fund_relationship,,,"메자닌, 공모주, 이벤트 드리븐",derived.available_name,missing_project_available_name,false,false,true,false,true,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0bbbe8c5910d,진이엔지 | 현대산업쏠라5호 | 리에너지 | 지우태양광 | 케이앤스틸테크놀로지 | 동서발전 | 이큐에너지 | 봉산햇빛 | 행암에너지일호 | 도원에너지 | 케이앤씨벨에포크 | 케이에이치테크단북1호 | 외삼1호 | 솔라트리1호 | 지티씨솔라13호 | 강구16호 | 어량리 | 솔라팩토리10호 | 알이엔네트웍스 | 에스이피브 | 케이앤씨헤르메스 | 모두에너지 | 알이씨에너지 | 솔라팩토리22호 | 솔라시너지햇빛1호 | 이인메가태양광 | 유현그린 | 케이앤씨그린북 | 디앤피상주 | 외삼2호 | 비케이솔라 | 윈즈에너지 | 적화솔라 | 에이치엠솔라1 | 이에스에이치12 | 다산1 | 에스지 | 김송하 | 와이알에너지 | 씨에스에너텍 | 솔빛에너지 | 에스와이솔라 | 솔라팩토리19호,physical_asset,112584,이지스일반사모투자신탁435호(태양광),fund_name_verified,,,진이엔지 | 현대산업쏠라5호 | 리에너지 | 지우태양광 | 케이앤스틸테크놀로지 | 동서발전 | 이큐에너지 | 봉산햇빛 | 행암에너지일호 | 도원에너지 | 케이앤씨벨에포크 | 케이에이치테크단북1호 | 외삼1호 | 솔라트리1호 | 지티씨솔라13호 | 강구16호 | 어량리 | 솔라팩토리10호 | 알이엔네트웍스 | 에스이피브 | 케이앤씨헤르메스 | 모두에너지 | 알이씨에너지 | 솔라팩토리22호 | 솔라시너지햇빛1호 | 이인메가태양광 | 유현그린 | 케이앤씨그린북 | 디앤피상주 | 외삼2호 | 비케이솔라 | 윈즈에너지 | 적화솔라 | 에이치엠솔라1 | 이에스에이치12 | 다산1 | 에스지 | 김송하 | 와이알에너지 | 씨에스에너텍 | 솔빛에너지 | 에스와이솔라 | 솔라팩토리19호 / 이지스일반사모투자신탁435호(태양광),derived.asset_fund_pair,missing_project_derived_pair,false,false,true,true,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112602,이지스NPL일반사모부동산투자신탁제3호,fund_name_verified,112318,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112602,이지스NPL일반사모부동산투자신탁제3호,fund_name_verified,112412,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112602,이지스NPL일반사모부동산투자신탁제3호,fund_name_verified,112602,NPL 3호 / IA13차 유동화 / IA 14차 유동화 / IAHF 합정 / IAYD,"아이에이제십삼차유동화전문 유한회사, 아이에이제십사차유동화전문 유한회사, 주식회사 아이에이에이치에프합정, 아이에이와이디유동화전문 유한회사, 부실채권을 기초자산으로 하는 SPC의 사채",funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112602,이지스NPL일반사모부동산투자신탁제3호,fund_name_verified,112603,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112603,이지스NPL일반사모부동산투자신탁제3-1호,fund_name_verified,112318,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112603,이지스NPL일반사모부동산투자신탁제3-1호,fund_name_verified,112412,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112603,이지스NPL일반사모부동산투자신탁제3-1호,fund_name_verified,112602,NPL 3호 / IA13차 유동화 / IA 14차 유동화 / IAHF 합정 / IAYD,"아이에이제십삼차유동화전문 유한회사, 아이에이제십사차유동화전문 유한회사, 주식회사 아이에이에이치에프합정, 아이에이와이디유동화전문 유한회사, 부실채권을 기초자산으로 하는 SPC의 사채",funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112603,이지스NPL일반사모부동산투자신탁제3-1호,fund_name_verified,112603,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112318,이지스NPL전문투자형사모부동산투자신탁제2-1호,fund_name_verified,112318,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112318,이지스NPL전문투자형사모부동산투자신탁제2-1호,fund_name_verified,112412,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112318,이지스NPL전문투자형사모부동산투자신탁제2-1호,fund_name_verified,112602,NPL 3호 / IA13차 유동화 / IA 14차 유동화 / IAHF 합정 / IAYD,"아이에이제십삼차유동화전문 유한회사, 아이에이제십사차유동화전문 유한회사, 주식회사 아이에이에이치에프합정, 아이에이와이디유동화전문 유한회사, 부실채권을 기초자산으로 하는 SPC의 사채",funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112318,이지스NPL전문투자형사모부동산투자신탁제2-1호,fund_name_verified,112603,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112412,이지스NPL전문투자형사모부동산투자신탁제2-2호,fund_name_verified,112318,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112412,이지스NPL전문투자형사모부동산투자신탁제2-2호,fund_name_verified,112412,부실채권을 기초자산으로 하는 SPC의 사채,부실채권을 기초자산으로 하는 SPC의 사채,funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
pseudo_project_vehicle_or_fund_context,ast_0bed91ccb4ec,부실채권을 기초자산으로 하는 SPC의 사채,physical_asset,112412,이지스NPL전문투자형사모부동산투자신탁제2-2호,fund_name_verified,112602,NPL 3호 / IA13차 유동화 / IA 14차 유동화 / IAHF 합정 / IAYD,"아이에이제십삼차유동화전문 유한회사, 아이에이제십사차유동화전문 유한회사, 주식회사 아이에이에이치에프합정, 아이에이와이디유동화전문 유한회사, 부실채권을 기초자산으로 하는 SPC의 사채",funds.project_mission_name,fund_context_project_label,false,true,true,false,false,true,프로젝트가 아니라 펀드/비히클 컨텍스트명으로 표시
