issue_type,asset_id,asset_name,fund_id,current_fund_name,proposed_fund_name,project_id,current_project_name,proposed_project_display_name,proposed_project_display_source,project_id_is_actual_project,project_id_is_fund_id_pseudo,flags,relationship_status,missing_parts,project_lookup_source,fund_relation_source_table,project_relation_source_table
project_name,ast_f2e00117756f,B스퀘어,112652,이지스부산특구부동산투자신탁제1호(C-S),이지스부산특구부동산투자신탁제1호(C-S),112649,부산 초량 MDM타워,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_mismatch_fund_context,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112652,이지스부산특구부동산투자신탁제1호(C-S),이지스부산특구부동산투자신탁제1호(C-S),112652,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112650,이지스부산특구부동산투자신탁제1호(C-e),이지스부산특구부동산투자신탁제1호(C-e),112650,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112650,이지스부산특구부동산투자신탁제1호(C-e),이지스부산특구부동산투자신탁제1호(C-e),112651,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112650,이지스부산특구부동산투자신탁제1호(C-e),이지스부산특구부동산투자신탁제1호(C-e),112649,부산 초량 MDM타워,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_mismatch_fund_context,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112650,이지스부산특구부동산투자신탁제1호(C-e),이지스부산특구부동산투자신탁제1호(C-e),112652,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f341642853ae,인천 가좌동 오피스텔 선순위 PF,112213,이지스전문투자형사모부동산투자신탁197호,이지스전문투자형사모부동산투자신탁197호,112213,인천 가좌동 오피스텔 선순위 PF대출채권,인천 가좌동 오피스텔 선순위 PF대출채권,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f39c0da608b1,나눔과사랑,112504,이지스일반사모투자신탁392호(태양광),이지스일반사모투자신탁392호(태양광),,,,,false,false,project_missing_no_id,missing_one_or_more_names,project_name,no_project_link,fund_assets,
fund_name,ast_f3cb5064d76b,네오밸류한남PFV의 제3종 종류주식,,,,,,,,false,false,fund_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f3cb5064d76b,네오밸류한남PFV의 제3종 종류주식,,,,,,,,false,false,project_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
fund_name,ast_f40e9a6c4433,PFV_Lotus (사채),,,,,,,,false,false,fund_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f40e9a6c4433,PFV_Lotus (사채),,,,,,,,false,false,project_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
fund_name,ast_f483ba7d8c86,"ARDIAN Infrastructure Fund VI S.C.S., SICAV-RAIF",,,,,,,,false,false,fund_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f483ba7d8c86,"ARDIAN Infrastructure Fund VI S.C.S., SICAV-RAIF",,,,,,,,false,false,project_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f4fc6d89a82b,CBRE U.S. Credit Partners LP,112486,이지스미국일반사모부동산투자신탁382호(재간접형),이지스미국일반사모부동산투자신탁382호(재간접형),112486,CBRE U.S. Credit Partners LP,CBRE U.S. Credit Partners LP,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
fund_name,ast_f51cc97d21ec,신라스테이해운대,,,,,,,,false,false,fund_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f51cc97d21ec,신라스테이해운대,,,,,,,,false,false,project_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
fund_name,ast_f51d6c73ca15,"StepStone Secondary Opportunities Fund V Offshore, L.P.",,,,,,,,false,false,fund_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f51d6c73ca15,"StepStone Secondary Opportunities Fund V Offshore, L.P.",,,,,,,,false,false,project_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f5220c768a13,글로벌 리츠,112564,이지스다이나믹글로벌리츠일반사모투자신탁1호,이지스다이나믹글로벌리츠일반사모투자신탁1호,,,,,false,false,project_missing_no_id,missing_one_or_more_names,project_name,no_project_link,fund_assets,
project_name,ast_f5307db6bfad,제주화북상업지역 주상복합용지 C1블럭 주상복합시설,P00028,디에스피에프브이 주식회사,디에스피에프브이 주식회사,P00028,제주 화북 프로젝트,제주화북상업지역 주상복합용지 C1블럭 주상복합시설,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_mismatch_fund_context,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f541715b8374,Barcelona Office Nestle HQ,112216,이지스글로벌부동산투자신탁204호 (파생형) Class A,이지스글로벌부동산투자신탁204호 (파생형) Class A,112216,Barcelona Office Nestle HQ,Barcelona Office Nestle HQ,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f541715b8374,Barcelona Office Nestle HQ,112216,이지스글로벌부동산투자신탁204호 (파생형) Class A,이지스글로벌부동산투자신탁204호 (파생형) Class A,112221,Barcelona Office Nestle HQ,Barcelona Office Nestle HQ,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f541715b8374,Barcelona Office Nestle HQ,112216,이지스글로벌부동산투자신탁204호 (파생형) Class A,이지스글로벌부동산투자신탁204호 (파생형) Class A,112222,Barcelona Office Nestle HQ,Barcelona Office Nestle HQ,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f541715b8374,Barcelona Office Nestle HQ,112222,이지스글로벌부동산투자신탁204호(파생형),이지스글로벌부동산투자신탁204호(파생형),112216,Barcelona Office Nestle HQ,Barcelona Office Nestle HQ,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f541715b8374,Barcelona Office Nestle HQ,112222,이지스글로벌부동산투자신탁204호(파생형),이지스글로벌부동산투자신탁204호(파생형),112221,Barcelona Office Nestle HQ,Barcelona Office Nestle HQ,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f541715b8374,Barcelona Office Nestle HQ,112222,이지스글로벌부동산투자신탁204호(파생형),이지스글로벌부동산투자신탁204호(파생형),112222,Barcelona Office Nestle HQ,Barcelona Office Nestle HQ,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f541715b8374,Barcelona Office Nestle HQ,112221,이지스글로벌부동산투자신탁204호 (파생형) Class C-i,이지스글로벌부동산투자신탁204호 (파생형) Class C-i,112216,Barcelona Office Nestle HQ,Barcelona Office Nestle HQ,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f541715b8374,Barcelona Office Nestle HQ,112221,이지스글로벌부동산투자신탁204호 (파생형) Class C-i,이지스글로벌부동산투자신탁204호 (파생형) Class C-i,112221,Barcelona Office Nestle HQ,Barcelona Office Nestle HQ,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
