asset_id,current_asset_name,proposed_asset_name,asset_name_resolution_status,asset_name_action,is_fund_or_vehicle_fallback_asset,direct_fund_asset_candidates,same_fund_underlying_candidates,fund_asset_field_candidates,project_name_candidates,alias_name_candidates,direct_fund_asset_details_json,linked_fund_ids,linked_project_ids,linked_fund_count,linked_project_count,drawer_behavior_hint
ast_ea7abbe04f2a,"ARDIAN Infrastructure Fund VI S.C.S., SICAV-RAIF","ARDIAN Infrastructure Fund VI S.C.S., SICAV-RAIF",current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_ea7cfe2c034c,"채권, 자산유동화 증권, 어음, 레포","채권, 자산유동화 증권, 어음, 레포",current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_ea83005ce057,이지스제415호일반사모부동산투자신탁,판교아이스퀘어C1블럭상업및숙박시설,auto_single_underlying_candidate,update_asset_name,true,판교아이스퀘어C1블럭상업및숙박시설,판교아이스퀘어C1블럭상업및숙박시설,판교아이스퀘어C1블럭상업및숙박시설,판교 아이스퀘어 C1블록 숙박/상업시설 | 판교아이스퀘어C1블럭상업및숙박시설,판교아이스퀘어C1블럭상업및숙박시설 | 판교 아이스퀘어 C1블록 숙박/상업시설,"[{""name"":""판교아이스퀘어C1블럭상업및숙박시설"",""address"":""시흥동 322"",""type"":""오피스복합""}]",112559,112559 | project_notion_3258ced4-3c47-811a-b4c3-f2ab4747275c | project_notion_3268ced4-3c47-81a2-93c9-fa8262b5cbf6,1,3,asset_click_opens_project_list
ast_ea8e897db9a1,OPUS407,OPUS407,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_ea90d1d50c7d,"BBB+ 이하 채권, 공모주, 스팩, 이벤트 드리븐, CP, 레포","BBB+ 이하 채권, 공모주, 스팩, 이벤트 드리븐, CP, 레포",current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_ead5386059f5,Carugate,Carugate,current_asset_name_ok,keep,false,Carugate,Carugate | San Mauro Torinese | Campegine | Camplogalliano | Bologna Interporto | Verona | Tori Di Quartesolo,San Mauro Torinese | Carugate | Verona | Tori Di Quartesolo | Campegine | Camplogalliano | Bologna Interporto,,"Carugate | San Mauro Torinese, Carugate, Verona, Tori Di Quartesolo, Campegine, Camplogalliano, Bologna Interporto","[{""name"":""Carugate"",""address"":""Lombardy, Milano, Italy"",""type"":""""}]",112401,,1,0,entity_click_opens_detail
ast_eadb0a414753,투태모에너지3호,투태모에너지3호,current_asset_name_ok,keep,false,투태모에너지3호,새금풍력태양광발전소 | 신명솔라 태양광발전소 | 최강일 태양광발전소 | 참빛솔라 태양광발전소 | 성리태양광발전소 | 의령1호 | 의령2호 | 의령3호 | 나눔과사랑 | 건화솔라 | 비취정보기술 | 해량에너지 | 시온솔라 | 투태모에너지3호 | 엠아이파워 | 평화와번영 | 디앤피입암리1호 | 해담은삼척1호 | 은하수솔라 | 화성솔라 | 옥스포드 | 미래화희망 | 해바라기,참빛솔라 태양광발전소 | 최강일 태양광발전소 | 신명솔라 태양광발전소 | 성리태양광발전소 | 새금풍력태양광발전소 | 엠아이파워 | 해량에너지 | 시온솔라 | 의령1호 | 의령2호 | 의령3호 | 나눔과사랑 | 건화솔라 | 투태모에너지3호 | 비취정보기술 | 은하수솔라 | 화성솔라 | 평화와번영 | 옥스포드 | 미래화희망 | 해바라기 | 디앤피입암리1호 | 해담은삼척1호,,"투태모에너지3호 | 참빛솔라 태양광발전소, 최강일 태양광발전소, 신명솔라 태양광발전소, 성리태양광발전소, 새금풍력태양광발전소, 엠아이파워, 해량에너지, 시온솔라, 의령1호, 의령2호, 의령3호, 나눔과사랑, 건화솔라, 투태모에너지3호, 비취정보기술, 은하수솔라, 화성솔라, 임원, 누리, 평화와번영, 옥스포드, 미래화희망, 해바라기, 디앤피입암리1호, 한려, 해담은삼척1호","[{""name"":""투태모에너지3호"",""address"":""경상북도 군위군 소보면 도산리 산 89-5"",""type"":""""}]",112504,,1,0,entity_click_opens_detail
ast_eb058774b3aa,판교 알파돔시티 비즈니스호텔 (투자),판교 알파돔시티 비즈니스호텔 (투자),current_asset_name_ok,keep,false,판교 알파돔시티 비즈니스호텔,판교 알파돔시티 비즈니스호텔,판교 알파돔시티 비즈니스호텔,판교 알파돔시티 비즈니스호텔,판교 알파돔시티 비즈니스호텔,"[{""name"":""판교 알파돔시티 비즈니스호텔"",""address"":""경기도 성남시 분당구 백현동 539"",""type"":""""}]",112148,112148,1,1,entity_click_opens_detail
ast_eb5a157872a8,효제아트PFV(주식 및 주주대여),효제아트PFV(주식 및 주주대여),current_asset_name_ok,keep,false,효제아트PFV(주식 및 주주대여),효제아트PFV(주식 및 주주대여),효제아트PFV(주식 및 주주대여),효제아트PFV(주식 및 주주대여),효제아트PFV(주식 및 주주대여),"[{""name"":""효제아트PFV(주식 및 주주대여)"",""address"":""서울특별시 종로구 효제동 315-1"",""type"":""""}]",112474,112474,1,1,entity_click_opens_detail
ast_eb6dfd75233b,KTX울산역 오피스텔 개발사업,KTX울산역 오피스텔 개발사업,current_asset_name_ok,keep,false,KTX울산역 오피스텔 개발사업,KTX울산역 오피스텔 개발사업,KTX울산역 오피스텔 개발사업,울산역 KTX S3블럭 오피스텔 개발사업 | KTX울산역 오피스텔 개발사업,KTX울산역 오피스텔 개발사업 | 울산역 KTX S3블럭 오피스텔 개발사업,"[{""name"":""KTX울산역 오피스텔 개발사업"",""address"":""울산광역시 울주군 삼남읍 교동리 1682-1"",""type"":""주거""}]",P00034,P00034 | project_notion_3258ced4-3c47-81a1-ae94-e9ff46be5503 | project_notion_3268ced4-3c47-81b4-8e89-f7ace4ba83c7,1,3,asset_click_opens_project_list
