fund_id,short_name,fund_name,vehicle_type,holding_type,fund_form,multi_class_type,aum_inclusion_flag,status,aggregate_asset_names,aggregate_beneficiary_names,aggregate_lender_names,source_row_number,row_hash
112710,멀티인컴1호,이지스 멀티인컴 일반사모투자신탁 제1호(운용),Fund,모펀드,멀티클래스(운용),클래스,Y,청산,"AA- 이상 채권, 국내 상장 리츠, 공모주, 스팩, 공모주","삼성증권, 연초생산안정화재단",,697,9c08ccde4de969c07bd942237857196721eb909e1e347fd5a6f53f25f191f2a7
112711,멀티인컴1호(A),이지스 멀티인컴 일반사모투자신탁 제1호(Class A),Fund,자펀드,클래스펀드,클래스,Y,청산,,,,698,d431ebeffe789df234157898db366cd8c636f6f863c2a897a66c3b7998eae461
112712,멀티인컴1호(C),이지스 멀티인컴 일반사모투자신탁 제1호(Class C),Fund,자펀드,클래스펀드,클래스,Y,청산,,,,699,4aeab08af9613d87294432c116c2feb4d5e05cbbfbe2cc15a1e74e3e916d2f06
112713,멀티인컴1호(C-i),이지스 멀티인컴 일반사모투자신탁 제1호(Class C-i),Fund,자펀드,클래스펀드,클래스,Y,청산,,,,700,6b8d6604ab7115ba70138a96d9b6b5d180a042aaec2544b4b3d2a67ffdafeee6
112714,멀티인컴1호(C-g),이지스 멀티인컴 일반사모투자신탁 제1호(Class C-g),Fund,자펀드,클래스펀드,클래스,Y,청산,,,,701,6d59e6567f36dc74cf28bba4365b7cb21c43d186a40666803faed30d3a760d7f
112715,장기안정형주거플랫폼 1호,이지스장기안정형주거플랫폼일반사모부동산투자신탁제1호,Fund,일반펀드,일반펀드,일반,Y,운용,,"과학기술인공제회, 이지스자산운용",,702,ed24b83255bebf32873ccf459cdc7ae1a0a18f01f0a2c2dad3d41490a948f364
112716,KLIP 2호,Korea Logistics Investment Platform LP,기타,,해당없음,,N,운용,,,,703,cac0fd59cfe16ad2d6ceb52148d81a56306fb6931121cd13d3a3430bbb1ada2f
112717,장기지분형1호,이지스장기지분형전문투자형사모부동산집합투자기구,기타,,해당없음,,N,운용,인천석남물류센터,,,704,fb114c8b919991621fbd71e2cf42d406358938887cc24ab132cd1e6881a625b6
112718,485호,이지스미국일반사모부동산투자신탁485호,Fund,일반펀드,일반펀드,일반,Y,청산,LA Wilshire Grand Center Senior Loan,"삼성증권, 세원에셋",,705,ef6b1955f6099778544bcf0c377c95fa93cd7b95e50cd299ebf06a174779862b
112719,해운대1호,이지스해운대일반사모부동산투자신탁제1호,Fund,일반펀드,일반펀드,일반,Y,운용,공동주택,"대림, 디엘이앤씨, 이지스자산운용",,706,a35de65097693a49e19ee517c89ea76d1d5049a395fafd46834154982363fd3c
112720,카스퀘어NPL,이지스카스퀘어NPL일반사모부동산투자신탁,Fund,일반펀드,일반펀드,일반,Y,청산,부천카스퀘어담보대출,"이지스NPL일반사모부동산투자신탁제3호, 하나에프앤아이(하나F&I)",,707,3233793cd9f47116cc5bde71b06779b4b0d1cc5687f0f3fe30f664911c2b4770
112721,장기지분형1-1호(운용),이지스장기지분형일반사모부동산자투자신탁제1-1호(운용),Fund,모펀드,자펀드(수익차등_운용),수익차등,Y,운용,인천석남물류센터,"개인(이규성), 이지스자산운용 고유자금, 한국교직원공제회",,708,c2eea27cb733e8c48ceb17d3d95a9a6f76629b586042a118ce0de8af37dea9b4
112722,라이징K리츠,이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형),Fund,모펀드,멀티클래스(운용),클래스,Y,청산,"국내 상장 리츠, 상장 인프라펀드, 채권형 펀드",,,709,279056e94b5bf4b0d98083c9dd92d6a519a0305530379ecda252a8715238a6e1
112723,라이징K리츠(A),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)A class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,710,1171cffed4e98faa7eec08d35fbf88ee2d8c0074541fe74e4706f00be795623d
112724,라이징K리츠(A-e),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)A-e class,Fund,자펀드,클래스펀드,클래스,Y,청산,,,,711,723bbf72e07fb22d5ddf7f056e93814894f6e7494b571afa97744d5ea8a3de93
