asset_id,canonical_name,pnu,status,missing_fields,fill_fields,item_count,selected_mgm_bldrgst_pk,new_floors_down,new_elevators,applied,new_completion_date,new_site_area,new_scr,new_far,new_main_usage,new_structure,new_floors_up,new_parking,new_height,new_gross_floor_area
ast_50f5141fc4b8,트레블로지명동시티홀호텔,1114011300100170001,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10031100212273,3,3,True,,741.5,58.213081,599.31,숙박시설,철근콘크리트구조,11,,33.44,
ast_fe11209bb01f,ISF모1-2호(타임워크명동),1114012600100590005,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,100315109,4,10,True,1975-10-20,4240.42,67.198768,674.68411,업무시설,철골철근콘크리트구조,19,옥내 98 / 옥외 0,72.02,
ast_fd6bb3b0a59c,영등포역 오피스텔 개발사업,1156010200101430003,found,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10201100239601,7,6,True,,2524.8,58.48,799.74,숙박시설,철근콘크리트구조,19,옥내 305 / 옥외 0,77.15,32054.8
ast_4b461cc661b2,포도몰,1162010200116410002,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10221100195640,8,7,True,,2873.8,59.91,733.12,판매시설,철골철근콘크리트구조,15,옥내 264 / 옥외 0,66.1,
ast_526e7318eac3,SKT구로사옥,1153010200112580000,found,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",5,101811802,3,,True,,0.0,0.0,0.0,판매시설,철근콘크리트구조,4,,0.0,202569.65
ast_764edeb2506b,씨티플라자,1156011000100250000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,102017142,4,5,True,,1388.0,59.5,761.48,업무시설,철근콘크리트구조,14,옥내 117 / 옥외 0,57.8,
ast_4c0d7e5f8a03,반포이수화학본사사옥,1165010700101120004,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1023112383,4,2,True,1993-07-29,2155.0,48.11,299.85,업무시설,철근콘크리트구조,8,옥내 68 / 옥외 12,37.1,
ast_09e5db3eee02,업스퀘어,3114010600115690001,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10781100211702,6,9,True,,,,,,,,,,
ast_ba08839e7d49,부산송정물류센터,2644010900117150002,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",2,10391100245880,1,2,True,,,,,,,,,,
ast_82588f68640c,가로골목,1168010700105450018,found,"floors_down,elevators","floors_down,elevators,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10241100285143,2,1,True,,,,,,,,,,
